Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125
================================================================================
Training started at 20260115-195525
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   24 |OrigR: 159.0 ShpR: 417.9 |X:  273.0( 803.0) AvgX100: 297.8 |AvgR: 486.8( 587.4) 10 |Ls: 0.0589 |Eps: 0.9417 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   25 |OrigR: 124.0 ShpR: 340.9 |X:  241.0( 803.0) AvgX100: 295.5 |AvgR: 481.0( 587.4) 11 |Ls: 0.0620 |Eps: 0.9393 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   26 |OrigR: 101.0 ShpR: 306.1 |X:  193.0( 803.0) AvgX100: 291.5 |AvgR: 474.3( 587.4) 12 |Ls: 0.0529 |Eps: 0.9370 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   27 |OrigR: 479.0 ShpR:1087.4 |X:  586.0( 803.0) AvgX100: 302.4 |AvgR: 497.0( 587.4) 13 |Ls: 0.0660 |Eps: 0.9346 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   28 |OrigR: 110.0 ShpR: 306.0 |X:  232.0( 803.0) AvgX100: 299.9 |AvgR: 490.2( 587.4) 14 |Ls: 0.0636 |Eps: 0.9323 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   29 |OrigR: 133.0 ShpR: 366.3 |X:  232.0( 803.0) AvgX100: 297.6 |AvgR: 485.9( 587.4) 15 |Ls: 0.0657 |Eps: 0.9300 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   30 |OrigR:   1.0 ShpR: 100.6 |X:   86.0( 803.0) AvgX100: 290.5 |AvgR: 473.0( 587.4) 16 |Ls: 0.0645 |Eps: 0.9277 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   31 |OrigR: 192.0 ShpR: 504.2 |X:  276.0( 803.0) AvgX100: 290.1 |AvgR: 474.1( 587.4) 17 |Ls: 0.0663 |Eps: 0.9253 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   32 |OrigR: -14.0 ShpR:  73.1 |X:   56.0( 803.0) AvgX100: 282.8 |AvgR: 461.5( 587.4) 18 |Ls: 0.0663 |Eps: 0.9230 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   33 |OrigR: 163.0 ShpR: 444.3 |X:  246.0( 803.0) AvgX100: 281.6 |AvgR: 461.0( 587.4) 19 |Ls: 0.0649 |Eps: 0.9207 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
