Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.95 --lr 0.000125
================================================================================
Training started at 20260118-093600
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 115.0 ShpR: 342.0 |X:  189.0( 189.0) AvgX100: 189.0 |AvgR: 342.0( 342.0)  0 |Ls: 0.0440 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    2 |OrigR:  60.0 ShpR: 234.0 |X:  126.0( 189.0) AvgX100: 157.5 |AvgR: 288.0( 342.0)  1 |Ls: 0.0426 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    3 |OrigR:  75.0 ShpR: 262.0 |X:  138.0( 189.0) AvgX100: 151.0 |AvgR: 279.3( 342.0)  2 |Ls: 0.0402 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    4 |OrigR:  54.0 ShpR: 259.9 |X:  164.0( 189.0) AvgX100: 154.2 |AvgR: 274.5( 342.0)  3 |Ls: 0.0235 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    5 |OrigR:  73.0 ShpR: 257.3 |X:  136.0( 189.0) AvgX100: 150.6 |AvgR: 271.0( 342.0)  4 |Ls: 0.0174 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    6 |OrigR:  92.0 ShpR: 261.7 |X:  226.0( 226.0) AvgX100: 163.2 |AvgR: 269.5( 342.0)  5 |Ls: 0.0113 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    7 |OrigR:  13.0 ShpR: 301.8 |X:  185.0( 226.0) AvgX100: 166.3 |AvgR: 274.1( 342.0)  6 |Ls: 0.0084 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    8 |OrigR: 135.0 ShpR: 378.5 |X:  216.0( 226.0) AvgX100: 172.5 |AvgR: 287.1( 342.0)  7 |Ls: 0.0077 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    9 |OrigR: -64.0 ShpR:  40.1 |X:   47.0( 226.0) AvgX100: 158.6 |AvgR: 259.7( 342.0)  8 |Ls: 0.0086 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   10 |OrigR: 100.0 ShpR: 315.0 |X:  177.0( 226.0) AvgX100: 160.4 |AvgR: 265.2( 342.0)  9 |Ls: 0.0083 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   11 |OrigR:  87.0 ShpR: 247.7 |X:  233.0( 233.0) AvgX100: 167.0 |AvgR: 263.6( 342.0) 10 |Ls: 0.0074 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   12 |OrigR:  26.0 ShpR: 160.6 |X:   94.0( 233.0) AvgX100: 160.9 |AvgR: 255.0( 342.0) 11 |Ls: 0.0073 |Eps: 0.9704 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   13 |OrigR: 365.0 ShpR: 866.0 |X:  444.0( 444.0) AvgX100: 182.7 |AvgR: 302.0( 342.0) 12 |Ls: 0.0086 |Eps: 0.9680 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   14 |OrigR:  -8.0 ShpR:  84.7 |X:   61.0( 444.0) AvgX100: 174.0 |AvgR: 286.5( 342.0) 13 |Ls: 0.0096 |Eps: 0.9656 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   15 |OrigR: 158.0 ShpR: 429.8 |X:  244.0( 444.0) AvgX100: 178.7 |AvgR: 296.1( 342.0) 14 |Ls: 0.0187 |Eps: 0.9631 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   16 |OrigR: -68.0 ShpR:  23.7 |X:   39.0( 444.0) AvgX100: 169.9 |AvgR: 279.1( 342.0) 15 |Ls: 0.0288 |Eps: 0.9607 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   17 |OrigR: 320.0 ShpR: 753.5 |X:  433.0( 444.0) AvgX100: 185.4 |AvgR: 307.0( 342.0) 16 |Ls: 0.0164 |Eps: 0.9583 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   18 |OrigR: 470.0 ShpR:1061.5 |X:  602.0( 602.0) AvgX100: 208.6 |AvgR: 348.9( 348.9)  0 |Ls: 0.0176 |Eps: 0.9559 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   19 |OrigR: -10.0 ShpR: 112.0 |X:   75.0( 602.0) AvgX100: 201.5 |AvgR: 336.4( 348.9)  1 |Ls: 0.0153 |Eps: 0.9536 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   20 |OrigR: 128.0 ShpR: 372.8 |X:  202.0( 602.0) AvgX100: 201.6 |AvgR: 338.2( 348.9)  2 |Ls: 0.0137 |Eps: 0.9512 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   21 |OrigR: 176.0 ShpR: 464.1 |X:  263.0( 602.0) AvgX100: 204.5 |AvgR: 344.2( 348.9)  3 |Ls: 0.0166 |Eps: 0.9488 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   22 |OrigR: 487.0 ShpR:1056.7 |X:  703.0( 703.0) AvgX100: 227.1 |AvgR: 376.6( 376.6)  0 |Ls: 0.0159 |Eps: 0.9464 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   23 |OrigR:  43.0 ShpR: 248.8 |X:  136.0( 703.0) AvgX100: 223.2 |AvgR: 371.1( 376.6)  1 |Ls: 0.0139 |Eps: 0.9441 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   24 |OrigR: 255.0 ShpR: 587.0 |X:  430.0( 703.0) AvgX100: 231.8 |AvgR: 380.1( 380.1)  0 |Ls: 0.0171 |Eps: 0.9417 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   25 |OrigR:  60.0 ShpR: 232.0 |X:  125.0( 703.0) AvgX100: 227.5 |AvgR: 374.1( 380.1)  1 |Ls: 0.0207 |Eps: 0.9393 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   26 |OrigR:  -5.0 ShpR: 111.0 |X:   74.0( 703.0) AvgX100: 221.6 |AvgR: 364.0( 380.1)  2 |Ls: 0.0200 |Eps: 0.9370 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   27 |OrigR: 201.0 ShpR: 519.1 |X:  278.0( 703.0) AvgX100: 223.7 |AvgR: 369.8( 380.1)  3 |Ls: 0.0175 |Eps: 0.9346 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   28 |OrigR:  88.0 ShpR: 291.3 |X:  151.0( 703.0) AvgX100: 221.1 |AvgR: 367.0( 380.1)  4 |Ls: 0.0208 |Eps: 0.9323 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   29 |OrigR: -27.0 ShpR:  99.3 |X:   71.0( 703.0) AvgX100: 215.9 |AvgR: 357.7( 380.1)  5 |Ls: 0.0200 |Eps: 0.9300 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   30 |OrigR: -22.0 ShpR:  58.3 |X:   50.0( 703.0) AvgX100: 210.4 |AvgR: 347.7( 380.1)  6 |Ls: 0.0200 |Eps: 0.9277 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   31 |OrigR:  -6.0 ShpR:  92.9 |X:   65.0( 703.0) AvgX100: 205.7 |AvgR: 339.5( 380.1)  7 |Ls: 0.0344 |Eps: 0.9253 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   32 |OrigR:  36.0 ShpR: 185.1 |X:  105.0( 703.0) AvgX100: 202.6 |AvgR: 334.7( 380.1)  8 |Ls: 0.0313 |Eps: 0.9230 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   33 |OrigR:   9.0 ShpR: 238.9 |X:  159.0( 703.0) AvgX100: 201.2 |AvgR: 331.8( 380.1)  9 |Ls: 0.0264 |Eps: 0.9207 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   34 |OrigR: 419.0 ShpR:1031.9 |X:  530.0( 703.0) AvgX100: 210.9 |AvgR: 352.4( 380.1) 10 |Ls: 0.0265 |Eps: 0.9184 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   35 |OrigR: 154.0 ShpR: 424.4 |X:  229.0( 703.0) AvgX100: 211.4 |AvgR: 354.4( 380.1) 11 |Ls: 0.0256 |Eps: 0.9161 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   36 |OrigR:  44.0 ShpR: 196.9 |X:  110.0( 703.0) AvgX100: 208.6 |AvgR: 350.1( 380.1) 12 |Ls: 0.0422 |Eps: 0.9138 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   37 |OrigR: 120.0 ShpR: 360.5 |X:  181.0( 703.0) AvgX100: 207.9 |AvgR: 350.3( 380.1) 13 |Ls: 0.0425 |Eps: 0.9115 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   38 |OrigR: 171.0 ShpR: 463.1 |X:  242.0( 703.0) AvgX100: 208.8 |AvgR: 353.3( 380.1) 14 |Ls: 0.0382 |Eps: 0.9093 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   39 |OrigR: 303.0 ShpR: 737.8 |X:  378.0( 703.0) AvgX100: 213.1 |AvgR: 363.2( 380.1) 15 |Ls: 0.0424 |Eps: 0.9070 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   40 |OrigR: 236.0 ShpR: 561.1 |X:  385.0( 703.0) AvgX100: 217.4 |AvgR: 368.1( 380.1) 16 |Ls: 0.0519 |Eps: 0.9047 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   41 |OrigR: 203.0 ShpR: 706.8 |X:  394.0( 703.0) AvgX100: 221.7 |AvgR: 376.4( 380.1) 17 |Ls: 0.0600 |Eps: 0.9025 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   42 |OrigR:   9.0 ShpR: 127.4 |X:   80.0( 703.0) AvgX100: 218.3 |AvgR: 370.5( 380.1) 18 |Ls: 0.0649 |Eps: 0.9002 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   43 |OrigR:  25.0 ShpR: 164.0 |X:   96.0( 703.0) AvgX100: 215.5 |AvgR: 365.7( 380.1) 19 |Ls: 0.1007 |Eps: 0.8980 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   44 |OrigR:  76.0 ShpR: 271.1 |X:  175.0( 703.0) AvgX100: 214.6 |AvgR: 363.5( 380.1) 20 |Ls: 0.1152 |Eps: 0.8957 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   45 |OrigR:  21.0 ShpR: 174.6 |X:  102.0( 703.0) AvgX100: 212.1 |AvgR: 359.3( 380.1) 21 |Ls: 0.1020 |Eps: 0.8935 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   46 |OrigR:  42.0 ShpR: 198.2 |X:  131.0( 703.0) AvgX100: 210.3 |AvgR: 355.8( 380.1) 22 |Ls: 0.0910 |Eps: 0.8912 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   47 |OrigR: 402.0 ShpR: 927.2 |X:  508.0( 703.0) AvgX100: 216.6 |AvgR: 368.0( 380.1) 23 |Ls: 0.1066 |Eps: 0.8890 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   48 |OrigR:  35.0 ShpR: 294.5 |X:  180.0( 703.0) AvgX100: 215.9 |AvgR: 366.4( 380.1) 24 |Ls: 0.1046 |Eps: 0.8868 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   49 |OrigR:  -8.0 ShpR:  88.2 |X:   63.0( 703.0) AvgX100: 212.8 |AvgR: 360.8( 380.1) 25 |Ls: 0.0860 |Eps: 0.8846 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   50 |OrigR: 403.0 ShpR: 939.3 |X:  548.0( 703.0) AvgX100: 219.5 |AvgR: 372.3( 380.1) 26 |Ls: 0.1203 |Eps: 0.8824 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   51 |OrigR: 425.0 ShpR: 996.0 |X:  690.0( 703.0) AvgX100: 228.7 |AvgR: 384.6( 384.6)  0 |Ls: 0.1414 |Eps: 0.8802 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   52 |OrigR: 190.0 ShpR: 447.5 |X:  373.0( 703.0) AvgX100: 231.5 |AvgR: 385.8( 385.8)  0 |Ls: 0.1821 |Eps: 0.8780 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   53 |OrigR: -37.0 ShpR:  92.3 |X:   69.0( 703.0) AvgX100: 228.4 |AvgR: 380.2( 385.8)  1 |Ls: 0.1531 |Eps: 0.8758 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   54 |OrigR: -34.0 ShpR: 112.6 |X:   79.0( 703.0) AvgX100: 225.6 |AvgR: 375.3( 385.8)  2 |Ls: 0.1622 |Eps: 0.8736 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   55 |OrigR:  41.0 ShpR: 192.6 |X:  108.0( 703.0) AvgX100: 223.5 |AvgR: 371.9( 385.8)  3 |Ls: 0.2270 |Eps: 0.8714 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   56 |OrigR: 524.0 ShpR:1197.4 |X:  612.0( 703.0) AvgX100: 230.4 |AvgR: 386.7( 386.7)  0 |Ls: 0.2987 |Eps: 0.8692 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   57 |OrigR: 170.0 ShpR: 461.5 |X:  247.0( 703.0) AvgX100: 230.7 |AvgR: 388.0( 388.0)  0 |Ls: 0.2390 |Eps: 0.8670 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   58 |OrigR: -54.0 ShpR:  29.6 |X:   40.0( 703.0) AvgX100: 227.4 |AvgR: 381.8( 388.0)  1 |Ls: 0.2604 |Eps: 0.8649 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   59 |OrigR:  62.0 ShpR: 310.2 |X:  217.0( 703.0) AvgX100: 227.3 |AvgR: 380.6( 388.0)  2 |Ls: 0.3317 |Eps: 0.8627 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   60 |OrigR: 325.0 ShpR: 778.5 |X:  417.0( 703.0) AvgX100: 230.4 |AvgR: 387.2( 388.0)  3 |Ls: 0.3277 |Eps: 0.8605 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   61 |OrigR: 506.0 ShpR:1145.6 |X:  623.0( 703.0) AvgX100: 236.9 |AvgR: 399.7( 399.7)  0 |Ls: 0.3727 |Eps: 0.8584 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   62 |OrigR:  89.0 ShpR: 289.9 |X:  150.0( 703.0) AvgX100: 235.5 |AvgR: 397.9( 399.7)  1 |Ls: 0.4067 |Eps: 0.8562 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   63 |OrigR: 353.0 ShpR: 846.3 |X:  427.0( 703.0) AvgX100: 238.5 |AvgR: 405.0( 405.0)  0 |Ls: 0.4165 |Eps: 0.8541 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   64 |OrigR: 172.0 ShpR: 461.2 |X:  254.0( 703.0) AvgX100: 238.7 |AvgR: 405.9( 405.9)  0 |Ls: 0.4036 |Eps: 0.8520 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   65 |OrigR: 196.0 ShpR: 494.6 |X:  325.0( 703.0) AvgX100: 240.1 |AvgR: 407.3( 407.3)  0 |Ls: 0.4895 |Eps: 0.8498 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   66 |OrigR:  -1.0 ShpR: 102.4 |X:   69.0( 703.0) AvgX100: 237.5 |AvgR: 402.6( 407.3)  1 |Ls: 0.5200 |Eps: 0.8477 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   67 |OrigR: -19.0 ShpR:  61.6 |X:   51.0( 703.0) AvgX100: 234.7 |AvgR: 397.6( 407.3)  2 |Ls: 0.5350 |Eps: 0.8456 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   68 |OrigR:  26.0 ShpR: 160.1 |X:   94.0( 703.0) AvgX100: 232.6 |AvgR: 394.1( 407.3)  3 |Ls: 0.4764 |Eps: 0.8435 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   69 |OrigR: 458.0 ShpR:1023.8 |X:  616.0( 703.0) AvgX100: 238.2 |AvgR: 403.2( 407.3)  4 |Ls: 0.4738 |Eps: 0.8414 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   70 |OrigR: 104.0 ShpR: 353.9 |X:  196.0( 703.0) AvgX100: 237.6 |AvgR: 402.5( 407.3)  5 |Ls: 0.4487 |Eps: 0.8393 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   71 |OrigR:  70.0 ShpR: 257.0 |X:  136.0( 703.0) AvgX100: 236.1 |AvgR: 400.4( 407.3)  6 |Ls: 0.5282 |Eps: 0.8372 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   72 |OrigR: 127.0 ShpR: 368.7 |X:  200.0( 703.0) AvgX100: 235.6 |AvgR: 400.0( 407.3)  7 |Ls: 0.5650 |Eps: 0.8351 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   73 |OrigR: -21.0 ShpR:  58.9 |X:   50.0( 703.0) AvgX100: 233.1 |AvgR: 395.3( 407.3)  8 |Ls: 0.4772 |Eps: 0.8330 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   74 |OrigR: -47.0 ShpR: 144.8 |X:  139.0( 703.0) AvgX100: 231.8 |AvgR: 391.9( 407.3)  9 |Ls: 0.4817 |Eps: 0.8309 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   75 |OrigR: 177.0 ShpR: 472.2 |X:  259.0( 703.0) AvgX100: 232.2 |AvgR: 393.0( 407.3) 10 |Ls: 0.4478 |Eps: 0.8288 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   76 |OrigR: 330.0 ShpR: 914.0 |X:  553.0( 703.0) AvgX100: 236.4 |AvgR: 399.9( 407.3) 11 |Ls: 0.5203 |Eps: 0.8268 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   77 |OrigR: -63.0 ShpR:  62.7 |X:   58.0( 703.0) AvgX100: 234.1 |AvgR: 395.5( 407.3) 12 |Ls: 0.6839 |Eps: 0.8247 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
