Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.00025
================================================================================
Training started at 20260117-053225
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 115.0 ShpR: 342.0 |X:  189.0( 189.0) AvgX100: 189.0 |AvgR: 342.0( 342.0)  0 |Ls: 0.0406 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    2 |OrigR:  60.0 ShpR: 234.0 |X:  126.0( 189.0) AvgX100: 157.5 |AvgR: 288.0( 342.0)  1 |Ls: 0.0384 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    3 |OrigR:  75.0 ShpR: 262.0 |X:  138.0( 189.0) AvgX100: 151.0 |AvgR: 279.3( 342.0)  2 |Ls: 0.0253 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    4 |OrigR: -11.0 ShpR: 218.4 |X:  175.0( 189.0) AvgX100: 157.0 |AvgR: 264.1( 342.0)  3 |Ls: 0.0140 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    5 |OrigR: 288.0 ShpR: 674.8 |X:  422.0( 422.0) AvgX100: 210.0 |AvgR: 346.2( 346.2)  0 |Ls: 0.0102 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    6 |OrigR: -23.0 ShpR: 138.2 |X:  144.0( 422.0) AvgX100: 199.0 |AvgR: 311.6( 346.2)  1 |Ls: 0.0066 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    7 |OrigR:  86.0 ShpR: 241.1 |X:  243.0( 422.0) AvgX100: 205.3 |AvgR: 301.5( 346.2)  2 |Ls: 0.0046 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    8 |OrigR:  93.0 ShpR: 303.3 |X:  156.0( 422.0) AvgX100: 199.1 |AvgR: 301.7( 346.2)  3 |Ls: 0.0050 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    9 |OrigR: -17.0 ShpR:  71.8 |X:   56.0( 422.0) AvgX100: 183.2 |AvgR: 276.2( 346.2)  4 |Ls: 0.0050 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   10 |OrigR: 332.0 ShpR: 896.7 |X:  501.0( 501.0) AvgX100: 215.0 |AvgR: 338.2( 346.2)  5 |Ls: 0.0047 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   11 |OrigR:  89.0 ShpR: 296.4 |X:  153.0( 501.0) AvgX100: 209.4 |AvgR: 334.4( 346.2)  6 |Ls: 0.0051 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   12 |OrigR: 152.0 ShpR: 413.7 |X:  235.0( 501.0) AvgX100: 211.5 |AvgR: 341.0( 346.2)  7 |Ls: 0.0095 |Eps: 0.9704 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   13 |OrigR:  -4.0 ShpR: 195.6 |X:  118.0( 501.0) AvgX100: 204.3 |AvgR: 329.8( 346.2)  8 |Ls: 0.0075 |Eps: 0.9680 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   14 |OrigR: -58.0 ShpR:  92.7 |X:   72.0( 501.0) AvgX100: 194.9 |AvgR: 312.9( 346.2)  9 |Ls: 0.0092 |Eps: 0.9656 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   15 |OrigR: 130.0 ShpR: 365.0 |X:  228.0( 501.0) AvgX100: 197.1 |AvgR: 316.4( 346.2) 10 |Ls: 0.0087 |Eps: 0.9631 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   16 |OrigR: 108.0 ShpR: 337.8 |X:  171.0( 501.0) AvgX100: 195.4 |AvgR: 317.7( 346.2) 11 |Ls: 0.0107 |Eps: 0.9607 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   17 |OrigR: -33.0 ShpR: 109.2 |X:   77.0( 501.0) AvgX100: 188.5 |AvgR: 305.5( 346.2) 12 |Ls: 0.0117 |Eps: 0.9583 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   18 |OrigR: 329.0 ShpR: 764.9 |X:  451.0( 501.0) AvgX100: 203.1 |AvgR: 331.0( 346.2) 13 |Ls: 0.0097 |Eps: 0.9559 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   19 |OrigR: 168.0 ShpR: 449.3 |X:  251.0( 501.0) AvgX100: 205.6 |AvgR: 337.2( 346.2) 14 |Ls: 0.0117 |Eps: 0.9536 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   20 |OrigR: 112.0 ShpR: 344.7 |X:  174.0( 501.0) AvgX100: 204.0 |AvgR: 337.6( 346.2) 15 |Ls: 0.0134 |Eps: 0.9512 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   21 |OrigR: 356.0 ShpR: 847.1 |X:  446.0( 501.0) AvgX100: 215.5 |AvgR: 361.8( 361.8)  0 |Ls: 0.0126 |Eps: 0.9488 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   22 |OrigR:   9.0 ShpR: 145.4 |X:   89.0( 501.0) AvgX100: 209.8 |AvgR: 352.0( 361.8)  1 |Ls: 0.0122 |Eps: 0.9464 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   23 |OrigR: 140.0 ShpR: 413.0 |X:  249.0( 501.0) AvgX100: 211.5 |AvgR: 354.7( 361.8)  2 |Ls: 0.0134 |Eps: 0.9441 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   24 |OrigR: -54.0 ShpR:  33.6 |X:   42.0( 501.0) AvgX100: 204.4 |AvgR: 341.3( 361.8)  3 |Ls: 0.0166 |Eps: 0.9417 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   25 |OrigR:  40.0 ShpR: 190.0 |X:  107.0( 501.0) AvgX100: 200.5 |AvgR: 335.2( 361.8)  4 |Ls: 0.0155 |Eps: 0.9393 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   26 |OrigR: 195.0 ShpR: 511.0 |X:  270.0( 501.0) AvgX100: 203.2 |AvgR: 342.0( 361.8)  5 |Ls: 0.0159 |Eps: 0.9370 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   27 |OrigR: -49.0 ShpR:  58.6 |X:   54.0( 501.0) AvgX100: 197.7 |AvgR: 331.5( 361.8)  6 |Ls: 0.0201 |Eps: 0.9346 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   28 |OrigR:  41.0 ShpR: 248.6 |X:  136.0( 501.0) AvgX100: 195.5 |AvgR: 328.5( 361.8)  7 |Ls: 0.0196 |Eps: 0.9323 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   29 |OrigR: -61.0 ShpR:  57.4 |X:   55.0( 501.0) AvgX100: 190.6 |AvgR: 319.2( 361.8)  8 |Ls: 0.0198 |Eps: 0.9300 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   30 |OrigR: -47.0 ShpR: 133.3 |X:  164.0( 501.0) AvgX100: 189.7 |AvgR: 313.0( 361.8)  9 |Ls: 0.0191 |Eps: 0.9277 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   31 |OrigR: -42.0 ShpR:  52.8 |X:   50.0( 501.0) AvgX100: 185.2 |AvgR: 304.6( 361.8) 10 |Ls: 0.0184 |Eps: 0.9253 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   32 |OrigR: 122.0 ShpR: 365.2 |X:  183.0( 501.0) AvgX100: 185.2 |AvgR: 306.5( 361.8) 11 |Ls: 0.0212 |Eps: 0.9230 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   33 |OrigR: 348.0 ShpR: 829.3 |X:  428.0( 501.0) AvgX100: 192.5 |AvgR: 322.3( 361.8) 12 |Ls: 0.0214 |Eps: 0.9207 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   34 |OrigR: 113.0 ShpR: 335.3 |X:  201.0( 501.0) AvgX100: 192.8 |AvgR: 322.7( 361.8) 13 |Ls: 0.0225 |Eps: 0.9184 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   35 |OrigR:  94.0 ShpR: 287.9 |X:  210.0( 501.0) AvgX100: 193.3 |AvgR: 321.7( 361.8) 14 |Ls: 0.0221 |Eps: 0.9161 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   36 |OrigR:  88.0 ShpR: 303.8 |X:  206.0( 501.0) AvgX100: 193.6 |AvgR: 321.2( 361.8) 15 |Ls: 0.0222 |Eps: 0.9138 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   37 |OrigR: 327.0 ShpR: 780.7 |X:  422.0( 501.0) AvgX100: 199.8 |AvgR: 333.6( 361.8) 16 |Ls: 0.0248 |Eps: 0.9115 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   38 |OrigR: 491.0 ShpR:1125.6 |X:  578.0( 578.0) AvgX100: 209.7 |AvgR: 354.5( 361.8) 17 |Ls: 0.0247 |Eps: 0.9093 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   39 |OrigR: 139.0 ShpR: 398.9 |X:  211.0( 578.0) AvgX100: 209.8 |AvgR: 355.6( 361.8) 18 |Ls: 0.0245 |Eps: 0.9070 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   40 |OrigR: 297.0 ShpR: 690.2 |X:  450.0( 578.0) AvgX100: 215.8 |AvgR: 364.0( 364.0)  0 |Ls: 0.0278 |Eps: 0.9047 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   41 |OrigR: 213.0 ShpR: 744.3 |X:  411.0( 578.0) AvgX100: 220.5 |AvgR: 373.3( 373.3)  0 |Ls: 0.0273 |Eps: 0.9025 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   42 |OrigR:  48.0 ShpR: 210.8 |X:  116.0( 578.0) AvgX100: 218.0 |AvgR: 369.4( 373.3)  1 |Ls: 0.0322 |Eps: 0.9002 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   43 |OrigR:  43.0 ShpR: 197.3 |X:  110.0( 578.0) AvgX100: 215.5 |AvgR: 365.4( 373.3)  2 |Ls: 0.0416 |Eps: 0.8980 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   44 |OrigR: 256.0 ShpR: 608.1 |X:  392.0( 578.0) AvgX100: 219.5 |AvgR: 370.9( 373.3)  3 |Ls: 0.0376 |Eps: 0.8957 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   45 |OrigR:  93.0 ShpR: 303.3 |X:  156.0( 578.0) AvgX100: 218.1 |AvgR: 369.4( 373.3)  4 |Ls: 0.0347 |Eps: 0.8935 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   46 |OrigR: 557.0 ShpR:1239.7 |X:  705.0( 705.0) AvgX100: 228.7 |AvgR: 388.3( 388.3)  0 |Ls: 0.0443 |Eps: 0.8912 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
