Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.93 --lr 0.000125
================================================================================
Training started at 20260116-110019
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.93->0.93, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 115.0 ShpR: 342.0 |X:  189.0( 189.0) AvgX100: 189.0 |AvgR: 342.0( 342.0)  0 |Ls: 0.0433 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    2 |OrigR:  60.0 ShpR: 234.0 |X:  126.0( 189.0) AvgX100: 157.5 |AvgR: 288.0( 342.0)  1 |Ls: 0.0420 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    3 |OrigR:  75.0 ShpR: 262.0 |X:  138.0( 189.0) AvgX100: 151.0 |AvgR: 279.3( 342.0)  2 |Ls: 0.0395 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    4 |OrigR: -11.0 ShpR: 218.4 |X:  175.0( 189.0) AvgX100: 157.0 |AvgR: 264.1( 342.0)  3 |Ls: 0.0191 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    5 |OrigR: 106.0 ShpR: 300.1 |X:  227.0( 227.0) AvgX100: 171.0 |AvgR: 271.3( 342.0)  4 |Ls: 0.0121 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    6 |OrigR:  13.0 ShpR: 304.3 |X:  184.0( 227.0) AvgX100: 173.2 |AvgR: 276.8( 342.0)  5 |Ls: 0.0096 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    7 |OrigR: 177.0 ShpR: 421.2 |X:  392.0( 392.0) AvgX100: 204.4 |AvgR: 297.4( 342.0)  6 |Ls: 0.0080 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    8 |OrigR: 340.0 ShpR: 810.5 |X:  425.0( 425.0) AvgX100: 232.0 |AvgR: 361.6( 361.6)  0 |Ls: 0.0066 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    9 |OrigR: 191.0 ShpR: 508.6 |X:  258.0( 425.0) AvgX100: 234.9 |AvgR: 377.9( 377.9)  0 |Ls: 0.0078 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   10 |OrigR: -11.0 ShpR:  79.9 |X:   59.0( 425.0) AvgX100: 217.3 |AvgR: 348.1( 377.9)  1 |Ls: 0.0069 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   11 |OrigR: 216.0 ShpR: 587.6 |X:  341.0( 425.0) AvgX100: 228.5 |AvgR: 369.9( 377.9)  2 |Ls: 0.0099 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   12 |OrigR: 321.0 ShpR: 756.1 |X:  437.0( 437.0) AvgX100: 245.9 |AvgR: 402.1( 402.1)  0 |Ls: 0.0123 |Eps: 0.9704 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   13 |OrigR: 142.0 ShpR: 396.2 |X:  226.0( 437.0) AvgX100: 244.4 |AvgR: 401.6( 402.1)  1 |Ls: 0.0119 |Eps: 0.9680 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   14 |OrigR: 121.0 ShpR: 367.1 |X:  184.0( 437.0) AvgX100: 240.1 |AvgR: 399.1( 402.1)  2 |Ls: 0.0136 |Eps: 0.9656 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   15 |OrigR: 171.0 ShpR: 456.1 |X:  247.0( 437.0) AvgX100: 240.5 |AvgR: 402.9( 402.9)  0 |Ls: 0.0141 |Eps: 0.9631 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   16 |OrigR: 171.0 ShpR: 461.1 |X:  249.0( 437.0) AvgX100: 241.1 |AvgR: 406.6( 406.6)  0 |Ls: 0.0137 |Eps: 0.9607 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   17 |OrigR: -10.0 ShpR: 110.0 |X:   74.0( 437.0) AvgX100: 231.2 |AvgR: 389.1( 406.6)  1 |Ls: 0.0126 |Eps: 0.9583 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   18 |OrigR: 128.0 ShpR: 372.8 |X:  202.0( 437.0) AvgX100: 229.6 |AvgR: 388.2( 406.6)  2 |Ls: 0.0126 |Eps: 0.9559 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   19 |OrigR: 342.0 ShpR: 811.2 |X:  435.0( 437.0) AvgX100: 240.4 |AvgR: 410.5( 410.5)  0 |Ls: 0.0224 |Eps: 0.9536 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   20 |OrigR: 176.0 ShpR: 471.6 |X:  255.0( 437.0) AvgX100: 241.2 |AvgR: 413.5( 413.5)  0 |Ls: 0.0226 |Eps: 0.9512 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   21 |OrigR: 195.0 ShpR: 517.5 |X:  266.0( 437.0) AvgX100: 242.3 |AvgR: 418.5( 418.5)  0 |Ls: 0.0220 |Eps: 0.9488 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   22 |OrigR: -73.0 ShpR:  24.2 |X:   40.0( 437.0) AvgX100: 233.1 |AvgR: 400.6( 418.5)  1 |Ls: 0.0228 |Eps: 0.9464 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   23 |OrigR: 160.0 ShpR: 439.5 |X:  252.0( 437.0) AvgX100: 234.0 |AvgR: 402.3( 418.5)  2 |Ls: 0.0327 |Eps: 0.9441 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   24 |OrigR: 321.0 ShpR: 762.6 |X:  428.0( 437.0) AvgX100: 242.0 |AvgR: 417.3( 418.5)  3 |Ls: 0.0374 |Eps: 0.9417 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   25 |OrigR: 211.0 ShpR: 544.1 |X:  346.0( 437.0) AvgX100: 246.2 |AvgR: 422.3( 422.3)  0 |Ls: 0.0358 |Eps: 0.9393 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   26 |OrigR: 209.0 ShpR: 511.9 |X:  364.0( 437.0) AvgX100: 250.7 |AvgR: 425.8( 425.8)  0 |Ls: 0.0367 |Eps: 0.9370 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   27 |OrigR: -53.0 ShpR:  31.7 |X:   41.0( 437.0) AvgX100: 243.0 |AvgR: 411.2( 425.8)  1 |Ls: 0.0376 |Eps: 0.9346 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   28 |OrigR: 270.0 ShpR: 642.5 |X:  396.0( 437.0) AvgX100: 248.4 |AvgR: 419.5( 425.8)  2 |Ls: 0.0334 |Eps: 0.9323 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   29 |OrigR:  18.0 ShpR: 187.3 |X:  178.0( 437.0) AvgX100: 246.0 |AvgR: 411.5( 425.8)  3 |Ls: 0.0312 |Eps: 0.9300 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   30 |OrigR: 217.0 ShpR: 557.2 |X:  298.0( 437.0) AvgX100: 247.7 |AvgR: 416.3( 425.8)  4 |Ls: 0.0329 |Eps: 0.9277 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   31 |OrigR:  81.0 ShpR: 278.1 |X:  145.0( 437.0) AvgX100: 244.4 |AvgR: 411.9( 425.8)  5 |Ls: 0.0401 |Eps: 0.9253 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
