Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260114-110731
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   23 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 194.3 |AvgR: 389.0( 390.0)  1 |Ls: 0.0108 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   24 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.8 |AvgR: 388.2( 390.0)  2 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   25 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.4 |AvgR: 387.4( 390.0)  3 |Ls: 0.0040 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   26 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 193.1 |AvgR: 386.7( 390.0)  4 |Ls: 0.0042 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   27 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 192.7 |AvgR: 385.9( 390.0)  5 |Ls: 0.0046 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   28 |OrigR: 118.0 ShpR: 358.8 |X:  180.0( 261.0) AvgX100: 192.3 |AvgR: 384.9( 390.0)  6 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   29 |OrigR: 195.0 ShpR: 519.0 |X:  259.0( 261.0) AvgX100: 194.6 |AvgR: 389.6( 390.0)  7 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   30 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 194.2 |AvgR: 388.7( 390.0)  8 |Ls: 0.0046 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   31 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 193.9 |AvgR: 388.1( 390.0)  9 |Ls: 0.0044 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   32 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 193.6 |AvgR: 387.4( 390.0) 10 |Ls: 0.0049 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   33 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 193.2 |AvgR: 386.7( 390.0) 11 |Ls: 0.0044 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   34 |OrigR: 124.0 ShpR: 371.9 |X:  186.0( 261.0) AvgX100: 193.0 |AvgR: 386.3( 390.0) 12 |Ls: 0.0039 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
