Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.95 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260115-003531
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 184.0) AvgX100: 184.0 |AvgR: 368.3( 368.3)  0 |Ls: 0.0000 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   19 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 188.4 |AvgR: 377.2( 379.0)  4 |Ls: 0.0087 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   20 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 188.2 |AvgR: 376.7( 379.0)  5 |Ls: 0.0092 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   21 |OrigR: 196.0 ShpR: 521.1 |X:  260.0( 261.0) AvgX100: 191.6 |AvgR: 383.6( 383.6)  0 |Ls: 0.0091 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   22 |OrigR: 197.0 ShpR: 524.2 |X:  261.0( 261.0) AvgX100: 194.7 |AvgR: 390.0( 390.0)  0 |Ls: 0.0098 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   23 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 194.3 |AvgR: 389.0( 390.0)  1 |Ls: 0.0123 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   24 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.8 |AvgR: 388.2( 390.0)  2 |Ls: 0.0063 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   25 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 193.4 |AvgR: 387.4( 390.0)  3 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   26 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 193.0 |AvgR: 386.5( 390.0)  4 |Ls: 0.0051 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   27 |OrigR: 122.0 ShpR: 367.2 |X:  184.0( 261.0) AvgX100: 192.7 |AvgR: 385.8( 390.0)  5 |Ls: 0.0053 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   28 |OrigR: 117.0 ShpR: 356.7 |X:  179.0( 261.0) AvgX100: 192.2 |AvgR: 384.8( 390.0)  6 |Ls: 0.0058 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   29 |OrigR: 120.0 ShpR: 363.0 |X:  182.0( 261.0) AvgX100: 191.9 |AvgR: 384.0( 390.0)  7 |Ls: 0.0055 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   30 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 191.6 |AvgR: 383.5( 390.0)  8 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   31 |OrigR: 123.0 ShpR: 368.3 |X:  184.0( 261.0) AvgX100: 191.4 |AvgR: 383.1( 390.0)  9 |Ls: 0.0045 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   32 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 191.2 |AvgR: 382.8( 390.0) 10 |Ls: 0.0054 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   33 |OrigR: 120.0 ShpR: 363.0 |X:  182.0( 261.0) AvgX100: 191.0 |AvgR: 382.2( 390.0) 11 |Ls: 0.0054 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   34 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 190.7 |AvgR: 381.7( 390.0) 12 |Ls: 0.0057 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   35 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 190.6 |AvgR: 381.3( 390.0) 13 |Ls: 0.0048 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   36 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 190.4 |AvgR: 381.0( 390.0) 14 |Ls: 0.0050 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   37 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 190.3 |AvgR: 380.7( 390.0) 15 |Ls: 0.0055 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   38 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 190.1 |AvgR: 380.3( 390.0) 16 |Ls: 0.0051 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   39 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 189.9 |AvgR: 380.0( 390.0) 17 |Ls: 0.0048 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   40 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 189.8 |AvgR: 379.8( 390.0) 18 |Ls: 0.0044 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   41 |OrigR: 122.0 ShpR: 365.7 |X:  183.0( 261.0) AvgX100: 189.7 |AvgR: 379.4( 390.0) 19 |Ls: 0.0114 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   42 |OrigR: 198.0 ShpR: 522.8 |X:  261.0( 261.0) AvgX100: 191.4 |AvgR: 382.8( 390.0) 20 |Ls: 0.0161 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   43 |OrigR:  75.0 ShpR: 266.5 |X:  140.0( 261.0) AvgX100: 190.2 |AvgR: 380.1( 390.0) 21 |Ls: 0.0135 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   44 |OrigR: 107.0 ShpR: 331.2 |X:  168.0( 261.0) AvgX100: 189.7 |AvgR: 379.0( 390.0) 22 |Ls: 0.0132 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   45 |OrigR:  93.0 ShpR: 305.3 |X:  157.0( 261.0) AvgX100: 188.9 |AvgR: 377.4( 390.0) 23 |Ls: 0.0138 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   46 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 188.9 |AvgR: 377.3( 390.0) 24 |Ls: 0.0146 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   47 |OrigR: 120.0 ShpR: 362.5 |X:  182.0( 261.0) AvgX100: 188.7 |AvgR: 377.0( 390.0) 25 |Ls: 0.0107 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   48 |OrigR: 120.0 ShpR: 362.5 |X:  182.0( 261.0) AvgX100: 188.6 |AvgR: 376.7( 390.0) 26 |Ls: 0.0153 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   49 |OrigR:  39.0 ShpR: 189.9 |X:  107.0( 261.0) AvgX100: 186.9 |AvgR: 372.9( 390.0) 27 |Ls: 0.0186 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   50 |OrigR: 115.0 ShpR: 351.5 |X:  177.0( 261.0) AvgX100: 186.7 |AvgR: 372.5( 390.0) 28 |Ls: 0.0231 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   51 |OrigR:  81.0 ShpR: 277.6 |X:  145.0( 261.0) AvgX100: 185.9 |AvgR: 370.6( 390.0) 29 |Ls: 0.0293 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   52 |OrigR: 357.0 ShpR: 851.2 |X:  436.0( 436.0) AvgX100: 190.7 |AvgR: 379.8( 390.0) 30 |Ls: 0.0281 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   53 |OrigR: 120.0 ShpR: 362.5 |X:  182.0( 436.0) AvgX100: 190.6 |AvgR: 379.5( 390.0) 31 |Ls: 0.0287 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   54 |OrigR: 116.0 ShpR: 354.1 |X:  178.0( 436.0) AvgX100: 190.3 |AvgR: 379.0( 390.0) 32 |Ls: 0.0384 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   55 |OrigR: 354.0 ShpR: 842.9 |X:  435.0( 436.0) AvgX100: 194.8 |AvgR: 387.5( 390.0) 33 |Ls: 0.0356 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   56 |OrigR: -31.0 ShpR:  35.9 |X:   40.0( 436.0) AvgX100: 192.0 |AvgR: 381.2( 390.0) 34 |Ls: 0.0354 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   57 |OrigR: -31.0 ShpR:  35.9 |X:   40.0( 436.0) AvgX100: 189.4 |AvgR: 375.1( 390.0) 35 |Ls: 0.0373 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   58 |OrigR:  74.0 ShpR: 261.9 |X:  138.0( 436.0) AvgX100: 188.5 |AvgR: 373.2( 390.0) 36 |Ls: 0.0456 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   59 |OrigR:  61.0 ShpR: 235.6 |X:  127.0( 436.0) AvgX100: 187.4 |AvgR: 370.9( 390.0) 37 |Ls: 0.0475 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   60 |OrigR:  43.0 ShpR: 197.3 |X:  110.0( 436.0) AvgX100: 186.1 |AvgR: 368.0( 390.0) 38 |Ls: 0.0463 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   61 |OrigR: 103.0 ShpR: 326.8 |X:  166.0( 436.0) AvgX100: 185.8 |AvgR: 367.3( 390.0) 39 |Ls: 0.0537 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   62 |OrigR: 178.0 ShpR: 475.8 |X:  257.0( 436.0) AvgX100: 187.0 |AvgR: 369.0( 390.0) 40 |Ls: 0.0547 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   63 |OrigR: 195.0 ShpR: 516.5 |X:  258.0( 436.0) AvgX100: 188.1 |AvgR: 371.4( 390.0) 41 |Ls: 0.0525 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   64 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 188.0 |AvgR: 371.4( 390.0) 42 |Ls: 0.0531 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   65 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 188.0 |AvgR: 371.3( 390.0) 43 |Ls: 0.0512 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   66 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 187.9 |AvgR: 371.3( 390.0) 44 |Ls: 0.0446 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   67 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 436.0) AvgX100: 187.9 |AvgR: 371.3( 390.0) 45 |Ls: 0.0500 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   68 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 187.9 |AvgR: 371.3( 390.0) 46 |Ls: 0.0419 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   69 |OrigR: 198.0 ShpR: 524.8 |X:  261.0( 436.0) AvgX100: 188.9 |AvgR: 373.5( 390.0) 47 |Ls: 0.0483 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   70 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 188.9 |AvgR: 373.5( 390.0) 48 |Ls: 0.0412 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   71 |OrigR: 198.0 ShpR: 523.3 |X:  261.0( 436.0) AvgX100: 189.9 |AvgR: 375.6( 390.0) 49 |Ls: 0.0547 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   72 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 189.8 |AvgR: 375.5( 390.0) 50 |Ls: 0.0477 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   73 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 189.8 |AvgR: 375.4( 390.0) 51 |Ls: 0.0549 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   74 |OrigR: 124.0 ShpR: 367.9 |X:  184.0( 436.0) AvgX100: 189.7 |AvgR: 375.3( 390.0) 52 |Ls: 0.0291 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   75 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 189.6 |AvgR: 375.3( 390.0) 53 |Ls: 0.0319 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   76 |OrigR: 128.0 ShpR: 377.3 |X:  188.0( 436.0) AvgX100: 189.6 |AvgR: 375.3( 390.0) 54 |Ls: 0.0282 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   77 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 189.7 |AvgR: 375.5( 390.0) 55 |Ls: 0.0256 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   78 |OrigR: 124.0 ShpR: 369.9 |X:  185.0( 436.0) AvgX100: 189.6 |AvgR: 375.5( 390.0) 56 |Ls: 0.0343 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   79 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 189.7 |AvgR: 375.7( 390.0) 57 |Ls: 0.0382 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   80 |OrigR: 135.0 ShpR: 393.5 |X:  195.0( 436.0) AvgX100: 189.8 |AvgR: 375.9( 390.0) 58 |Ls: 0.0451 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   81 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 189.8 |AvgR: 376.2( 390.0) 59 |Ls: 0.0356 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   82 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 189.9 |AvgR: 376.4( 390.0) 60 |Ls: 0.0352 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   83 |OrigR: 133.0 ShpR: 390.8 |X:  194.0( 436.0) AvgX100: 190.0 |AvgR: 376.6( 390.0) 61 |Ls: 0.0338 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   84 |OrigR: 132.0 ShpR: 388.7 |X:  193.0( 436.0) AvgX100: 190.0 |AvgR: 376.7( 390.0) 62 |Ls: 0.0413 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   85 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 190.1 |AvgR: 376.9( 390.0) 63 |Ls: 0.0373 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   86 |OrigR: 134.0 ShpR: 393.4 |X:  195.0( 436.0) AvgX100: 190.1 |AvgR: 377.1( 390.0) 64 |Ls: 0.0289 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   87 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 190.2 |AvgR: 377.3( 390.0) 65 |Ls: 0.0321 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   88 |OrigR: 210.0 ShpR: 551.5 |X:  272.0( 436.0) AvgX100: 191.1 |AvgR: 379.3( 390.0) 66 |Ls: 0.0292 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   89 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.2 |AvgR: 379.5( 390.0) 67 |Ls: 0.0361 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   90 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.2 |AvgR: 379.7( 390.0) 68 |Ls: 0.0415 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   91 |OrigR: 137.0 ShpR: 399.7 |X:  198.0( 436.0) AvgX100: 191.3 |AvgR: 379.9( 390.0) 69 |Ls: 0.0320 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   92 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.4 |AvgR: 380.0( 390.0) 70 |Ls: 0.0298 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   93 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.4 |AvgR: 380.2( 390.0) 71 |Ls: 0.0330 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   94 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.5 |AvgR: 380.4( 390.0) 72 |Ls: 0.0364 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   95 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.5 |AvgR: 380.5( 390.0) 73 |Ls: 0.0396 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   96 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.6 |AvgR: 380.7( 390.0) 74 |Ls: 0.0307 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   97 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.6 |AvgR: 380.8( 390.0) 75 |Ls: 0.0286 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   98 |OrigR: 137.0 ShpR: 399.7 |X:  198.0( 436.0) AvgX100: 191.7 |AvgR: 381.0( 390.0) 76 |Ls: 0.0323 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   99 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 191.7 |AvgR: 381.1( 390.0) 77 |Ls: 0.0299 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep  100 |OrigR: 134.0 ShpR: 392.9 |X:  195.0( 436.0) AvgX100: 191.7 |AvgR: 381.3( 390.0) 78 |Ls: 0.0292 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep  101 |OrigR: 136.0 ShpR: 397.1 |X:  197.0( 436.0) AvgX100: 191.9 |AvgR: 381.6( 390.0) 79 |Ls: 0.0340 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep  102 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 192.0 |AvgR: 381.8( 390.0) 80 |Ls: 0.0355 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep  103 |OrigR: 135.0 ShpR: 395.0 |X:  196.0( 436.0) AvgX100: 192.1 |AvgR: 382.1( 390.0) 81 |Ls: 0.0397 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
