Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260112-212541
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  35.1 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.1(  35.1)  0 |Ls: 0.0385 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    2 |OrigR: -25.0 ShpR:  47.5 |X:   45.0(  45.0) AvgX100:  42.5 |AvgR:  41.3(  41.3)  0 |Ls: 0.0440 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    3 |OrigR: -32.0 ShpR:  35.8 |X:   40.0(  45.0) AvgX100:  41.7 |AvgR:  39.5(  41.3)  1 |Ls: 0.0412 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    4 |OrigR: -49.0 ShpR:-111.4 |X:  254.0( 254.0) AvgX100:  94.8 |AvgR:   1.7(  41.3)  2 |Ls: 0.0237 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    5 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 116.0 |AvgR:  82.9(  82.9)  0 |Ls: 0.0134 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    6 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 130.2 |AvgR: 137.0( 137.0)  0 |Ls: 0.0115 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    7 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 140.3 |AvgR: 175.6( 175.6)  0 |Ls: 0.0120 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    8 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 147.9 |AvgR: 204.6( 204.6)  0 |Ls: 0.0120 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    9 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 153.8 |AvgR: 227.2( 227.2)  0 |Ls: 0.0142 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   10 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 158.5 |AvgR: 245.2( 245.2)  0 |Ls: 0.0479 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   11 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 162.4 |AvgR: 260.0( 260.0)  0 |Ls: 0.0434 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   12 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 165.6 |AvgR: 272.2( 272.2)  0 |Ls: 0.0369 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   13 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 168.3 |AvgR: 282.7( 282.7)  0 |Ls: 0.0339 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   14 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 170.6 |AvgR: 291.6( 291.6)  0 |Ls: 0.0349 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   15 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 254.0) AvgX100: 172.7 |AvgR: 299.3( 299.3)  0 |Ls: 0.0303 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   16 |OrigR: 140.0 ShpR: 407.0 |X:  201.0( 254.0) AvgX100: 174.4 |AvgR: 306.0( 306.0)  0 |Ls: 0.0361 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
