Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.93 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260113-093206
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.93->0.93, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0373 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    2 |OrigR: -25.0 ShpR:  47.5 |X:   45.0(  45.0) AvgX100:  42.5 |AvgR:  41.7(  41.7)  0 |Ls: 0.0436 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    3 |OrigR: -32.0 ShpR:  35.8 |X:   40.0(  45.0) AvgX100:  41.7 |AvgR:  39.7(  41.7)  1 |Ls: 0.0387 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    4 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  45.0) AvgX100:  41.2 |AvgR:  38.8(  41.7)  2 |Ls: 0.0404 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    5 |OrigR: -74.0 ShpR:  21.6 |X:   39.0(  45.0) AvgX100:  40.8 |AvgR:  35.3(  41.7)  3 |Ls: 0.0373 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    6 |OrigR: -17.0 ShpR: 266.8 |X:  211.0( 211.0) AvgX100:  69.2 |AvgR:  73.9(  73.9)  0 |Ls: 0.0464 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    7 |OrigR: 127.0 ShpR: 432.7 |X:  218.0( 218.0) AvgX100:  90.4 |AvgR: 125.2( 125.2)  0 |Ls: 0.0444 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    8 |OrigR: 134.0 ShpR: 394.9 |X:  196.0( 218.0) AvgX100: 103.6 |AvgR: 158.9( 158.9)  0 |Ls: 0.0618 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    9 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 218.0) AvgX100: 114.4 |AvgR: 186.5( 186.5)  0 |Ls: 0.0342 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   10 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 218.0) AvgX100: 123.1 |AvgR: 208.6( 208.6)  0 |Ls: 0.0258 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   11 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 218.0) AvgX100: 130.2 |AvgR: 226.7( 226.7)  0 |Ls: 0.0287 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
