Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.97 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260112-135833
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  35.1 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.1(  35.1)  0 |Ls: 0.0379 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    2 |OrigR: -25.0 ShpR:  47.5 |X:   45.0(  45.0) AvgX100:  42.5 |AvgR:  41.3(  41.3)  0 |Ls: 0.0435 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    3 |OrigR: -32.0 ShpR:  35.8 |X:   40.0(  45.0) AvgX100:  41.7 |AvgR:  39.5(  41.3)  1 |Ls: 0.0407 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    4 |OrigR:-319.0 ShpR:-686.4 |X:   49.0(  49.0) AvgX100:  43.5 |AvgR:-142.0(  41.3)  2 |Ls: 0.0213 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    5 |OrigR: -30.0 ShpR:  38.5 |X:   41.0(  49.0) AvgX100:  43.0 |AvgR:-105.9(  41.3)  3 |Ls: 0.0132 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    6 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  49.0) AvgX100:  42.5 |AvgR: -82.3(  41.3)  4 |Ls: 0.0133 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    7 |OrigR:  18.0 ShpR: 146.3 |X:   88.0(  88.0) AvgX100:  49.0 |AvgR: -49.6(  41.3)  5 |Ls: 0.0133 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    8 |OrigR:  89.0 ShpR: 292.4 |X:  151.0( 151.0) AvgX100:  61.8 |AvgR:  -6.9(  41.3)  6 |Ls: 0.0142 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    9 |OrigR:  75.0 ShpR: 268.0 |X:  141.0( 151.0) AvgX100:  70.6 |AvgR:  23.7(  41.3)  7 |Ls: 0.0118 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   10 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 201.0) AvgX100:  83.6 |AvgR:  62.1(  62.1)  0 |Ls: 0.0121 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   11 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 201.0) AvgX100:  94.3 |AvgR:  93.5(  93.5)  0 |Ls: 0.0187 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
