Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.95 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260113-143318
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0378 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    2 |OrigR: -25.0 ShpR:  47.5 |X:   45.0(  45.0) AvgX100:  42.5 |AvgR:  41.7(  41.7)  0 |Ls: 0.0442 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    3 |OrigR: -32.0 ShpR:  35.8 |X:   40.0(  45.0) AvgX100:  41.7 |AvgR:  39.7(  41.7)  1 |Ls: 0.0392 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    4 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  45.0) AvgX100:  41.2 |AvgR:  38.8(  41.7)  2 |Ls: 0.0409 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    5 |OrigR: -74.0 ShpR:  21.6 |X:   39.0(  45.0) AvgX100:  40.8 |AvgR:  35.3(  41.7)  3 |Ls: 0.0379 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    6 |OrigR: 317.0 ShpR: 742.2 |X:  452.0( 452.0) AvgX100: 109.3 |AvgR: 153.2( 153.2)  0 |Ls: 0.0398 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    7 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 452.0) AvgX100: 122.4 |AvgR: 189.5( 189.5)  0 |Ls: 0.0210 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    8 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 452.0) AvgX100: 132.2 |AvgR: 216.7( 216.7)  0 |Ls: 0.0223 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    9 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 452.0) AvgX100: 139.9 |AvgR: 237.9( 237.9)  0 |Ls: 0.0304 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   10 |OrigR: 140.0 ShpR: 407.5 |X:  201.0( 452.0) AvgX100: 146.0 |AvgR: 254.9( 254.9)  0 |Ls: 0.0233 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   11 |OrigR: 211.0 ShpR: 555.6 |X:  273.0( 452.0) AvgX100: 157.5 |AvgR: 282.2( 282.2)  0 |Ls: 0.0241 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.950 |Fl: . (0/100) 0
