Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.91 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260113-041927
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0368 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   23 |OrigR: 124.0 ShpR: 372.4 |X:  186.0( 198.0) AvgX100: 149.3 |AvgR: 286.5( 286.5)  0 |Ls: 0.0256 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   24 |OrigR: 130.0 ShpR: 386.0 |X:  192.0( 198.0) AvgX100: 151.1 |AvgR: 290.7( 290.7)  0 |Ls: 0.0222 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   25 |OrigR: 130.0 ShpR: 386.0 |X:  192.0( 198.0) AvgX100: 152.7 |AvgR: 294.5( 294.5)  0 |Ls: 0.0232 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   26 |OrigR: 128.0 ShpR: 381.3 |X:  190.0( 198.0) AvgX100: 154.2 |AvgR: 297.8( 297.8)  0 |Ls: 0.0274 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   27 |OrigR: 124.0 ShpR: 372.4 |X:  186.0( 198.0) AvgX100: 155.3 |AvgR: 300.6( 300.6)  0 |Ls: 0.0204 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   28 |OrigR: 118.0 ShpR: 361.3 |X:  181.0( 198.0) AvgX100: 156.2 |AvgR: 302.8( 302.8)  0 |Ls: 0.0208 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   29 |OrigR: 126.0 ShpR: 376.6 |X:  188.0( 198.0) AvgX100: 157.3 |AvgR: 305.3( 305.3)  0 |Ls: 0.0273 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   30 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 158.7 |AvgR: 308.5( 308.5)  0 |Ls: 0.0197 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   31 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 198.0) AvgX100: 160.0 |AvgR: 311.4( 311.4)  0 |Ls: 0.0165 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   32 |OrigR: 212.0 ShpR: 557.2 |X:  275.0( 275.0) AvgX100: 163.6 |AvgR: 319.1( 319.1)  0 |Ls: 0.0169 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   33 |OrigR: 132.0 ShpR: 390.7 |X:  194.0( 275.0) AvgX100: 164.5 |AvgR: 321.2( 321.2)  0 |Ls: 0.0157 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   34 |OrigR: 132.0 ShpR: 390.7 |X:  194.0( 275.0) AvgX100: 165.4 |AvgR: 323.3( 323.3)  0 |Ls: 0.0120 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   35 |OrigR: 134.0 ShpR: 394.9 |X:  196.0( 275.0) AvgX100: 166.2 |AvgR: 325.3( 325.3)  0 |Ls: 0.0139 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   36 |OrigR: 136.0 ShpR: 399.1 |X:  198.0( 275.0) AvgX100: 167.1 |AvgR: 327.4( 327.4)  0 |Ls: 0.0196 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   37 |OrigR: 132.0 ShpR: 388.2 |X:  193.0( 275.0) AvgX100: 167.8 |AvgR: 329.0( 329.0)  0 |Ls: 0.0139 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   38 |OrigR: 132.0 ShpR: 390.7 |X:  194.0( 275.0) AvgX100: 168.5 |AvgR: 330.7( 330.7)  0 |Ls: 0.0147 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   39 |OrigR: 132.0 ShpR: 390.7 |X:  194.0( 275.0) AvgX100: 169.2 |AvgR: 332.2( 332.2)  0 |Ls: 0.0120 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   40 |OrigR: 129.0 ShpR: 383.9 |X:  191.0( 275.0) AvgX100: 169.7 |AvgR: 333.5( 333.5)  0 |Ls: 0.0129 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   41 |OrigR: 129.0 ShpR: 383.9 |X:  191.0( 275.0) AvgX100: 170.2 |AvgR: 334.7( 334.7)  0 |Ls: 0.0148 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   42 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 170.9 |AvgR: 336.3( 336.3)  0 |Ls: 0.0140 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   43 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 171.5 |AvgR: 337.7( 337.7)  0 |Ls: 0.0151 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   44 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 172.1 |AvgR: 339.1( 339.1)  0 |Ls: 0.0132 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   45 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 172.7 |AvgR: 340.5( 340.5)  0 |Ls: 0.0087 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   46 |OrigR: 210.0 ShpR: 553.5 |X:  273.0( 275.0) AvgX100: 174.9 |AvgR: 345.1( 345.1)  0 |Ls: 0.0131 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   47 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 175.4 |AvgR: 346.3( 346.3)  0 |Ls: 0.0126 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   48 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 175.8 |AvgR: 347.4( 347.4)  0 |Ls: 0.0127 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   49 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 176.3 |AvgR: 348.4( 348.4)  0 |Ls: 0.0105 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   50 |OrigR: 136.0 ShpR: 399.6 |X:  198.0( 275.0) AvgX100: 176.7 |AvgR: 349.5( 349.5)  0 |Ls: 0.0153 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   51 |OrigR: 118.0 ShpR: 360.8 |X:  181.0( 275.0) AvgX100: 176.8 |AvgR: 349.7( 349.7)  0 |Ls: 0.0156 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   52 |OrigR: 109.0 ShpR: 340.4 |X:  172.0( 275.0) AvgX100: 176.7 |AvgR: 349.5( 349.7)  1 |Ls: 0.0181 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   53 |OrigR: 115.0 ShpR: 354.0 |X:  178.0( 275.0) AvgX100: 176.7 |AvgR: 349.6( 349.7)  2 |Ls: 0.0192 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   54 |OrigR: 105.0 ShpR: 333.5 |X:  169.0( 275.0) AvgX100: 176.6 |AvgR: 349.3( 349.7)  3 |Ls: 0.0171 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   55 |OrigR: 112.0 ShpR: 347.2 |X:  175.0( 275.0) AvgX100: 176.6 |AvgR: 349.3( 349.7)  4 |Ls: 0.0141 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   56 |OrigR: 103.0 ShpR: 328.3 |X:  167.0( 275.0) AvgX100: 176.4 |AvgR: 348.9( 349.7)  5 |Ls: 0.0104 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   57 |OrigR: 106.0 ShpR: 334.6 |X:  170.0( 275.0) AvgX100: 176.3 |AvgR: 348.6( 349.7)  6 |Ls: 0.0130 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
