Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.000125
================================================================================
Training started at 20260117-122123
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  55.1 |X:   50.0(  50.0) AvgX100:  50.0 |AvgR:  55.1(  55.1)  0 |Ls: 0.0390 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    2 |OrigR: -38.0 ShpR:  59.7 |X:   53.0(  53.0) AvgX100:  51.5 |AvgR:  57.4(  57.4)  0 |Ls: 0.0421 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    3 |OrigR: 338.0 ShpR: 803.8 |X:  435.0( 435.0) AvgX100: 179.3 |AvgR: 306.2( 306.2)  0 |Ls: 0.0238 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    4 |OrigR: 500.0 ShpR:1033.5 |X:  804.0( 804.0) AvgX100: 335.5 |AvgR: 488.0( 488.0)  0 |Ls: 0.0079 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    5 |OrigR: 152.0 ShpR: 404.7 |X:  254.0( 804.0) AvgX100: 319.2 |AvgR: 471.4( 488.0)  1 |Ls: 0.0043 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    6 |OrigR:  97.0 ShpR: 418.7 |X:  343.0( 804.0) AvgX100: 323.2 |AvgR: 462.6( 488.0)  2 |Ls: 0.0082 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    7 |OrigR: 389.0 ShpR: 912.9 |X:  470.0( 804.0) AvgX100: 344.1 |AvgR: 526.9( 526.9)  0 |Ls: 0.0081 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    8 |OrigR: 456.0 ShpR:1021.1 |X:  600.0( 804.0) AvgX100: 376.1 |AvgR: 588.7( 588.7)  0 |Ls: 0.0113 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    9 |OrigR: 149.0 ShpR: 402.9 |X:  243.0( 804.0) AvgX100: 361.3 |AvgR: 568.0( 588.7)  1 |Ls: 0.0149 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   10 |OrigR: 261.0 ShpR: 617.1 |X:  399.0( 804.0) AvgX100: 365.1 |AvgR: 573.0( 588.7)  2 |Ls: 0.0159 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   11 |OrigR: 356.0 ShpR: 938.6 |X:  587.0( 804.0) AvgX100: 385.3 |AvgR: 606.2( 606.2)  0 |Ls: 0.0218 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   12 |OrigR: -74.0 ShpR:  21.6 |X:   39.0( 804.0) AvgX100: 356.4 |AvgR: 557.5( 606.2)  1 |Ls: 0.0279 |Eps: 0.9704 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   13 |OrigR:  51.0 ShpR: 361.6 |X:  209.0( 804.0) AvgX100: 345.1 |AvgR: 542.4( 606.2)  2 |Ls: 0.0266 |Eps: 0.9680 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   14 |OrigR: 147.0 ShpR: 426.2 |X:  347.0( 804.0) AvgX100: 345.2 |AvgR: 534.1( 606.2)  3 |Ls: 0.0364 |Eps: 0.9656 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   15 |OrigR:  52.0 ShpR: 383.7 |X:  233.0( 804.0) AvgX100: 337.7 |AvgR: 524.1( 606.2)  4 |Ls: 0.0427 |Eps: 0.9631 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   16 |OrigR: 387.0 ShpR: 846.2 |X:  591.0( 804.0) AvgX100: 353.6 |AvgR: 544.2( 606.2)  5 |Ls: 0.0553 |Eps: 0.9607 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   17 |OrigR: 166.0 ShpR: 444.6 |X:  250.0( 804.0) AvgX100: 347.5 |AvgR: 538.4( 606.2)  6 |Ls: 0.0524 |Eps: 0.9583 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   18 |OrigR: 100.0 ShpR: 319.5 |X:  163.0( 804.0) AvgX100: 337.2 |AvgR: 526.2( 606.2)  7 |Ls: 0.0552 |Eps: 0.9559 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   19 |OrigR: -11.0 ShpR:  89.4 |X:   64.0( 804.0) AvgX100: 322.8 |AvgR: 503.2( 606.2)  8 |Ls: 0.0729 |Eps: 0.9536 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   20 |OrigR:  20.0 ShpR: 229.5 |X:  151.0( 804.0) AvgX100: 314.2 |AvgR: 489.5( 606.2)  9 |Ls: 0.0830 |Eps: 0.9512 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   21 |OrigR:  83.0 ShpR: 282.3 |X:  147.0( 804.0) AvgX100: 306.3 |AvgR: 479.7( 606.2) 10 |Ls: 0.0812 |Eps: 0.9488 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   22 |OrigR:  20.0 ShpR: 149.0 |X:   89.0( 804.0) AvgX100: 296.4 |AvgR: 464.6( 606.2) 11 |Ls: 0.0828 |Eps: 0.9464 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   23 |OrigR: 310.0 ShpR: 720.5 |X:  721.0( 804.0) AvgX100: 314.9 |AvgR: 475.7( 606.2) 12 |Ls: 0.1033 |Eps: 0.9441 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   24 |OrigR: -62.0 ShpR:  75.3 |X:   64.0( 804.0) AvgX100: 304.4 |AvgR: 459.1( 606.2) 13 |Ls: 0.1156 |Eps: 0.9417 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   25 |OrigR:  78.0 ShpR: 272.8 |X:  143.0( 804.0) AvgX100: 298.0 |AvgR: 451.6( 606.2) 14 |Ls: 0.1105 |Eps: 0.9393 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   26 |OrigR: 136.0 ShpR: 389.6 |X:  205.0( 804.0) AvgX100: 294.4 |AvgR: 449.2( 606.2) 15 |Ls: 0.1170 |Eps: 0.9370 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   27 |OrigR: 497.0 ShpR:1025.7 |X:  814.0( 814.0) AvgX100: 313.6 |AvgR: 470.6( 606.2) 16 |Ls: 0.1468 |Eps: 0.9346 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   28 |OrigR: 335.0 ShpR: 663.0 |X:  691.0( 814.0) AvgX100: 327.1 |AvgR: 477.5( 606.2) 17 |Ls: 0.1855 |Eps: 0.9323 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   29 |OrigR: -10.0 ShpR: 110.0 |X:   74.0( 814.0) AvgX100: 318.4 |AvgR: 464.8( 606.2) 18 |Ls: 0.2015 |Eps: 0.9300 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   30 |OrigR:  92.0 ShpR: 301.2 |X:  155.0( 814.0) AvgX100: 312.9 |AvgR: 459.3( 606.2) 19 |Ls: 0.1840 |Eps: 0.9277 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   31 |OrigR:  15.0 ShpR: 137.0 |X:   84.0( 814.0) AvgX100: 305.5 |AvgR: 448.9( 606.2) 20 |Ls: 0.2027 |Eps: 0.9253 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   32 |OrigR: 429.0 ShpR: 901.4 |X:  703.0( 814.0) AvgX100: 318.0 |AvgR: 463.1( 606.2) 21 |Ls: 0.2152 |Eps: 0.9230 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   33 |OrigR: 196.0 ShpR: 514.1 |X:  261.0( 814.0) AvgX100: 316.2 |AvgR: 464.6( 606.2) 22 |Ls: 0.2352 |Eps: 0.9207 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   34 |OrigR: 308.0 ShpR: 743.8 |X:  392.0( 814.0) AvgX100: 318.5 |AvgR: 472.8( 606.2) 23 |Ls: 0.2095 |Eps: 0.9184 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
