Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.97 --lr 0.000125
================================================================================
Training started at 20260117-060807
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  55.1 |X:   50.0(  50.0) AvgX100:  50.0 |AvgR:  55.1(  55.1)  0 |Ls: 0.0384 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    2 |OrigR: -38.0 ShpR:  59.7 |X:   53.0(  53.0) AvgX100:  51.5 |AvgR:  57.4(  57.4)  0 |Ls: 0.0416 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    3 |OrigR: 338.0 ShpR: 803.8 |X:  435.0( 435.0) AvgX100: 179.3 |AvgR: 306.2( 306.2)  0 |Ls: 0.0229 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    4 |OrigR: 288.0 ShpR: 656.3 |X:  690.0( 690.0) AvgX100: 307.0 |AvgR: 393.7( 393.7)  0 |Ls: 0.0072 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    5 |OrigR: 282.0 ShpR: 712.7 |X:  525.0( 690.0) AvgX100: 350.6 |AvgR: 457.5( 457.5)  0 |Ls: 0.0043 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    6 |OrigR: 305.0 ShpR: 715.0 |X:  435.0( 690.0) AvgX100: 364.7 |AvgR: 500.4( 500.4)  0 |Ls: 0.0099 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    7 |OrigR:  18.0 ShpR: 164.8 |X:  151.0( 690.0) AvgX100: 334.1 |AvgR: 452.5( 500.4)  1 |Ls: 0.0120 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    8 |OrigR: -41.0 ShpR:  53.4 |X:   50.0( 690.0) AvgX100: 298.6 |AvgR: 402.6( 500.4)  2 |Ls: 0.0116 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    9 |OrigR: 483.0 ShpR:1071.3 |X:  649.0( 690.0) AvgX100: 337.6 |AvgR: 476.9( 500.4)  3 |Ls: 0.0139 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   10 |OrigR:  34.0 ShpR: 176.4 |X:  101.0( 690.0) AvgX100: 313.9 |AvgR: 446.9( 500.4)  4 |Ls: 0.0151 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   11 |OrigR:  97.0 ShpR: 356.7 |X:  211.0( 690.0) AvgX100: 304.5 |AvgR: 438.7( 500.4)  5 |Ls: 0.0196 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.970 |Fl: . (0/100) 0
