Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.97 --lr 0.00025
================================================================================
Training started at 20260118-023440
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  55.1 |X:   50.0(  50.0) AvgX100:  50.0 |AvgR:  55.1(  55.1)  0 |Ls: 0.0359 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    2 |OrigR: -38.0 ShpR:  59.7 |X:   53.0(  53.0) AvgX100:  51.5 |AvgR:  57.4(  57.4)  0 |Ls: 0.0361 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    3 |OrigR: -55.0 ShpR:  73.0 |X:   62.0(  62.0) AvgX100:  55.0 |AvgR:  62.6(  62.6)  0 |Ls: 0.0168 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    4 |OrigR: 343.0 ShpR: 820.8 |X:  424.0( 424.0) AvgX100: 147.2 |AvgR: 252.2( 252.2)  0 |Ls: 0.0190 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    5 |OrigR: -13.0 ShpR:  91.2 |X:   65.0( 424.0) AvgX100: 130.8 |AvgR: 220.0( 252.2)  1 |Ls: 0.0179 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    6 |OrigR:  21.0 ShpR: 161.1 |X:  131.0( 424.0) AvgX100: 130.8 |AvgR: 210.2( 252.2)  2 |Ls: 0.0138 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    7 |OrigR: 297.0 ShpR: 690.2 |X:  446.0( 446.0) AvgX100: 175.9 |AvgR: 278.7( 278.7)  0 |Ls: 0.0094 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    8 |OrigR: 143.0 ShpR: 384.8 |X:  250.0( 446.0) AvgX100: 185.1 |AvgR: 292.0( 292.0)  0 |Ls: 0.0069 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    9 |OrigR: -45.0 ShpR: 142.0 |X:   95.0( 446.0) AvgX100: 175.1 |AvgR: 275.3( 292.0)  1 |Ls: 0.0064 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   10 |OrigR: 255.0 ShpR: 697.0 |X:  524.0( 524.0) AvgX100: 210.0 |AvgR: 317.5( 317.5)  0 |Ls: 0.0076 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   11 |OrigR: 180.0 ShpR: 477.5 |X:  256.0( 524.0) AvgX100: 214.2 |AvgR: 332.0( 332.0)  0 |Ls: 0.0084 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   12 |OrigR: -53.0 ShpR:  39.7 |X:   45.0( 524.0) AvgX100: 200.1 |AvgR: 307.7( 332.0)  1 |Ls: 0.0085 |Eps: 0.9704 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   13 |OrigR: -73.0 ShpR:  22.2 |X:   39.0( 524.0) AvgX100: 187.7 |AvgR: 285.7( 332.0)  2 |Ls: 0.0072 |Eps: 0.9680 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   14 |OrigR: 197.0 ShpR: 518.2 |X:  270.0( 524.0) AvgX100: 193.6 |AvgR: 302.3( 332.0)  3 |Ls: 0.0091 |Eps: 0.9656 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   15 |OrigR: -15.0 ShpR: 125.5 |X:  185.0( 524.0) AvgX100: 193.0 |AvgR: 290.5( 332.0)  4 |Ls: 0.0113 |Eps: 0.9631 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
