Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.00025
================================================================================
Training started at 20260118-092144
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   24 |OrigR: 373.0 ShpR: 886.3 |X:  447.0( 704.0) AvgX100: 240.4 |AvgR: 367.7( 367.7)  0 |Ls: 0.1301 |Eps: 0.9417 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   25 |OrigR: 244.0 ShpR: 620.9 |X:  312.0( 704.0) AvgX100: 243.3 |AvgR: 377.8( 377.8)  0 |Ls: 0.1498 |Eps: 0.9393 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   26 |OrigR: 222.0 ShpR: 680.7 |X:  375.0( 704.0) AvgX100: 248.3 |AvgR: 389.5( 389.5)  0 |Ls: 0.1862 |Eps: 0.9370 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   27 |OrigR:  25.0 ShpR: 158.0 |X:   93.0( 704.0) AvgX100: 242.6 |AvgR: 380.9( 389.5)  1 |Ls: 0.1745 |Eps: 0.9346 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   28 |OrigR: 128.0 ShpR: 355.8 |X:  229.0( 704.0) AvgX100: 242.1 |AvgR: 380.0( 389.5)  2 |Ls: 0.1624 |Eps: 0.9323 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   29 |OrigR: 451.0 ShpR: 907.6 |X:  805.0( 805.0) AvgX100: 261.5 |AvgR: 398.2( 398.2)  0 |Ls: 0.1934 |Eps: 0.9300 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   30 |OrigR: 190.0 ShpR: 503.0 |X:  265.0( 805.0) AvgX100: 261.6 |AvgR: 401.7( 401.7)  0 |Ls: 0.1987 |Eps: 0.9277 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   31 |OrigR: -16.0 ShpR: 196.4 |X:  118.0( 805.0) AvgX100: 257.0 |AvgR: 395.1( 401.7)  1 |Ls: 0.2268 |Eps: 0.9253 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   32 |OrigR:  98.0 ShpR: 286.8 |X:  211.0( 805.0) AvgX100: 255.6 |AvgR: 391.7( 401.7)  2 |Ls: 0.2234 |Eps: 0.9230 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   33 |OrigR: 351.0 ShpR: 832.1 |X:  439.0( 805.0) AvgX100: 261.1 |AvgR: 405.0( 405.0)  0 |Ls: 0.2434 |Eps: 0.9207 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
