Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.93 --lr 0.00025
================================================================================
Training started at 20260117-225519
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.93->0.93, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -34.0 ShpR:  55.1 |X:   50.0(  50.0) AvgX100:  50.0 |AvgR:  55.1(  55.1)  0 |Ls: 0.0348 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    2 |OrigR: -38.0 ShpR:  59.7 |X:   53.0(  53.0) AvgX100:  51.5 |AvgR:  57.4(  57.4)  0 |Ls: 0.0352 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    3 |OrigR: -55.0 ShpR:  73.0 |X:   62.0(  62.0) AvgX100:  55.0 |AvgR:  62.6(  62.6)  0 |Ls: 0.0156 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    4 |OrigR: 343.0 ShpR: 820.8 |X:  424.0( 424.0) AvgX100: 147.2 |AvgR: 252.2( 252.2)  0 |Ls: 0.0180 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    5 |OrigR: -13.0 ShpR:  91.2 |X:   65.0( 424.0) AvgX100: 130.8 |AvgR: 220.0( 252.2)  1 |Ls: 0.0171 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    6 |OrigR:  21.0 ShpR: 161.1 |X:  131.0( 424.0) AvgX100: 130.8 |AvgR: 210.2( 252.2)  2 |Ls: 0.0129 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    7 |OrigR:  49.0 ShpR: 179.4 |X:  173.0( 424.0) AvgX100: 136.9 |AvgR: 205.8( 252.2)  3 |Ls: 0.0088 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    8 |OrigR: -16.0 ShpR: 240.4 |X:  140.0( 424.0) AvgX100: 137.2 |AvgR: 210.1( 252.2)  4 |Ls: 0.0103 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    9 |OrigR:  57.0 ShpR: 275.7 |X:  164.0( 424.0) AvgX100: 140.2 |AvgR: 217.4( 252.2)  5 |Ls: 0.0067 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   10 |OrigR: -41.0 ShpR:  91.4 |X:   69.0( 424.0) AvgX100: 133.1 |AvgR: 204.8( 252.2)  6 |Ls: 0.0068 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   11 |OrigR: 321.0 ShpR: 706.6 |X:  529.0( 529.0) AvgX100: 169.1 |AvgR: 250.4( 252.2)  7 |Ls: 0.0062 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
