Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 222 --gamma 0.99 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final.pt
================================================================================
Training started at 20260114-024602
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 222
Resuming from checkpoint: checkpoints/qrd3qn_w51_final.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0389 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    2 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  1 |Ls: 0.0435 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    3 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  2 |Ls: 0.0412 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    4 |OrigR: -34.0 ShpR:  47.1 |X:   46.0(  46.0) AvgX100:  41.5 |AvgR:  38.7(  38.7)  0 |Ls: 0.0338 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    5 |OrigR: -42.0 ShpR:  32.8 |X:   40.0(  46.0) AvgX100:  41.2 |AvgR:  37.5(  38.7)  1 |Ls: 0.0366 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    6 |OrigR: -34.0 ShpR:  47.1 |X:   46.0(  46.0) AvgX100:  42.0 |AvgR:  39.1(  39.1)  0 |Ls: 0.0348 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    7 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.7 |AvgR:  38.7(  39.1)  1 |Ls: 0.0373 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    8 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.5 |AvgR:  38.3(  39.1)  2 |Ls: 0.0415 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    9 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.3 |AvgR:  38.0(  39.1)  3 |Ls: 0.0425 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   10 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.2 |AvgR:  37.8(  39.1)  4 |Ls: 0.0372 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   11 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.1 |AvgR:  37.7(  39.1)  5 |Ls: 0.0439 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   12 |OrigR: -24.0 ShpR:  50.1 |X:   46.0(  46.0) AvgX100:  41.5 |AvgR:  38.7(  39.1)  6 |Ls: 0.0373 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   13 |OrigR: -24.0 ShpR:  50.1 |X:   46.0(  46.0) AvgX100:  41.8 |AvgR:  39.6(  39.6)  0 |Ls: 0.0460 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   14 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  46.0) AvgX100:  41.7 |AvgR:  39.3(  39.6)  1 |Ls: 0.0549 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   15 |OrigR: -20.0 ShpR:  61.0 |X:   51.0(  51.0) AvgX100:  42.3 |AvgR:  40.8(  40.8)  0 |Ls: 0.0552 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   16 |OrigR: -29.0 ShpR:  40.6 |X:   42.0(  51.0) AvgX100:  42.3 |AvgR:  40.7(  40.8)  1 |Ls: 0.0509 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   17 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  51.0) AvgX100:  42.2 |AvgR:  40.5(  40.8)  2 |Ls: 0.0549 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   18 |OrigR: -30.0 ShpR:  38.5 |X:   41.0(  51.0) AvgX100:  42.1 |AvgR:  40.4(  40.8)  3 |Ls: 0.0464 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   19 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  51.0) AvgX100:  42.0 |AvgR:  40.1(  40.8)  4 |Ls: 0.0507 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   20 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  51.0) AvgX100:  41.9 |AvgR:  39.9(  40.8)  5 |Ls: 0.0492 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   21 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  51.0) AvgX100:  41.8 |AvgR:  39.7(  40.8)  6 |Ls: 0.0484 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   22 |OrigR: -29.0 ShpR:  40.6 |X:   42.0(  51.0) AvgX100:  41.8 |AvgR:  39.8(  40.8)  7 |Ls: 0.0456 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
