Command line: train_new_replay_bonus_clear.py
================================================================================
Training started at 20260416-170303
Algorithm: QRD3QN
Environment: SuperMarioBros-1-3-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 40000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
Death-Zone Boost: window=150 min_samples=30 spread_thresh=100.0 boost_eps=0.35 duration=200 cooldown=100 x_offset=200.0 min_x=300.0
Replay Bonus: enabled=True bonus_window=200 success_margin=120 bonus_factor=3.0 clear_on_spread=True clear_spread_threshold=100.0 use_age_decay=False
================================================================================
Ep    1 |OrigR: 177.0 ShpR: 469.7 |X: 259.0( 259.0) AvgX100: 259.0 |AvgR: 469.7 |Ls:0.0000 |Eps:0.9975 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    2 |OrigR: 154.0 ShpR: 399.9 |X: 286.0( 286.0) AvgX100: 272.5 |AvgR: 434.8 |Ls:0.0196 |Eps:0.9950 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    3 |OrigR: 113.0 ShpR: 380.3 |X: 288.0( 288.0) AvgX100: 277.7 |AvgR: 416.6 |Ls:0.0103 |Eps:0.9925 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    4 |OrigR: 141.0 ShpR: 368.6 |X: 278.0( 288.0) AvgX100: 277.8 |AvgR: 404.6 |Ls:0.0088 |Eps:0.9900 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    5 |OrigR: 185.0 ShpR: 471.0 |X: 308.0( 308.0) AvgX100: 283.8 |AvgR: 417.9 |Ls:0.0078 |Eps:0.9876 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    6 |OrigR: 191.0 ShpR: 497.6 |X: 276.0( 308.0) AvgX100: 282.5 |AvgR: 431.2 |Ls:0.0118 |Eps:0.9851 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    7 |OrigR: 174.0 ShpR: 448.9 |X: 288.0( 308.0) AvgX100: 283.3 |AvgR: 433.7 |Ls:0.0088 |Eps:0.9826 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    8 |OrigR:  67.0 ShpR: 171.2 |X: 281.0( 308.0) AvgX100: 283.0 |AvgR: 400.9 |Ls:0.0253 |Eps:0.9802 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep    9 |OrigR: 191.0 ShpR: 504.1 |X: 266.0( 308.0) AvgX100: 281.1 |AvgR: 412.4 |Ls:0.0238 |Eps:0.9777 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep   10 |OrigR: 196.0 ShpR: 504.6 |X: 290.0( 308.0) AvgX100: 282.0 |AvgR: 421.6 |Ls:0.0406 |Eps:0.9753 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
Ep   11 |OrigR: 163.0 ShpR: 423.8 |X: 279.0( 308.0) AvgX100: 281.7 |AvgR: 421.8 |Ls:0.0477 |Eps:0.9728 |LR:1.25e-04 |Gm:0.950 |Fl:.(0/100)0 |DZ:  N/A BS:  N/A    --- |SP:  N/A | RB:  - | CLR:  -
