================================================================================
Training started at 20251218-192728
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.93->0.93, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0379 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0254 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0191 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0148 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    6 |OrigR: -49.0 ShpR: 133.6 |X:  152.0( 602.0) AvgX100: 172.3 |AvgR: 280.5( 309.9)  1 |Ls: 0.0146 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    7 |OrigR:  -8.0 ShpR: 198.7 |X:  118.0( 602.0) AvgX100: 164.6 |AvgR: 268.8( 309.9)  2 |Ls: 0.0156 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    8 |OrigR:  73.0 ShpR: 257.8 |X:  136.0( 602.0) AvgX100: 161.0 |AvgR: 267.5( 309.9)  3 |Ls: 0.0157 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    9 |OrigR: 184.0 ShpR: 445.4 |X:  343.0( 602.0) AvgX100: 181.2 |AvgR: 287.2( 309.9)  4 |Ls: 0.0116 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   10 |OrigR: 291.0 ShpR: 662.6 |X:  693.0( 693.0) AvgX100: 232.4 |AvgR: 324.8( 324.8)  0 |Ls: 0.0109 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   11 |OrigR: -64.0 ShpR:  30.1 |X:   42.0( 693.0) AvgX100: 215.1 |AvgR: 298.0( 324.8)  1 |Ls: 0.0163 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   12 |OrigR: -71.0 ShpR:  52.4 |X:   54.0( 693.0) AvgX100: 201.7 |AvgR: 277.5( 324.8)  2 |Ls: 0.0341 |Eps: 0.9704 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   13 |OrigR: 175.0 ShpR: 469.0 |X:  247.0( 693.0) AvgX100: 205.2 |AvgR: 292.2( 324.8)  3 |Ls: 0.0201 |Eps: 0.9680 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   14 |OrigR: 309.0 ShpR: 845.4 |X:  495.0( 693.0) AvgX100: 225.9 |AvgR: 331.8( 331.8)  0 |Ls: 0.0288 |Eps: 0.9656 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   15 |OrigR: 332.0 ShpR: 789.7 |X:  425.0( 693.0) AvgX100: 239.1 |AvgR: 362.3( 362.3)  0 |Ls: 0.0343 |Eps: 0.9631 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   16 |OrigR: 384.0 ShpR: 895.4 |X:  482.0( 693.0) AvgX100: 254.3 |AvgR: 395.6( 395.6)  0 |Ls: 0.0352 |Eps: 0.9607 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   17 |OrigR: 112.0 ShpR: 331.2 |X:  196.0( 693.0) AvgX100: 250.9 |AvgR: 391.8( 395.6)  1 |Ls: 0.0429 |Eps: 0.9583 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   18 |OrigR: 544.0 ShpR:1200.4 |X:  704.0( 704.0) AvgX100: 276.1 |AvgR: 436.7( 436.7)  0 |Ls: 0.0467 |Eps: 0.9559 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   19 |OrigR:  85.0 ShpR: 287.0 |X:  149.0( 704.0) AvgX100: 269.4 |AvgR: 428.9( 436.7)  1 |Ls: 0.0653 |Eps: 0.9536 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   20 |OrigR: -52.0 ShpR:  29.8 |X:   40.0( 704.0) AvgX100: 257.9 |AvgR: 408.9( 436.7)  2 |Ls: 0.0534 |Eps: 0.9512 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   21 |OrigR: -20.0 ShpR:  61.5 |X:   51.0( 704.0) AvgX100: 248.0 |AvgR: 392.4( 436.7)  3 |Ls: 0.0745 |Eps: 0.9488 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   22 |OrigR:  59.0 ShpR: 257.9 |X:  172.0( 704.0) AvgX100: 244.6 |AvgR: 386.2( 436.7)  4 |Ls: 0.0501 |Eps: 0.9464 |LR: 2.50e-04 |Gm: 0.930 |Fl: . (0/100) 0
