================================================================================
Training started at 20251219-040335
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.93->0.93, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0397 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0329 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0285 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0166 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    6 |OrigR: -50.0 ShpR: 135.0 |X:  153.0( 602.0) AvgX100: 172.5 |AvgR: 280.8( 309.9)  1 |Ls: 0.0161 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    7 |OrigR: 178.0 ShpR: 477.3 |X:  256.0( 602.0) AvgX100: 184.4 |AvgR: 308.8( 309.9)  2 |Ls: 0.0157 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    8 |OrigR:  44.0 ShpR: 234.4 |X:  353.0( 602.0) AvgX100: 205.5 |AvgR: 299.5( 309.9)  3 |Ls: 0.0111 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep    9 |OrigR:  78.0 ShpR: 272.8 |X:  143.0( 602.0) AvgX100: 198.6 |AvgR: 296.6( 309.9)  4 |Ls: 0.0076 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   10 |OrigR: 463.0 ShpR: 959.8 |X:  802.0( 802.0) AvgX100: 258.9 |AvgR: 362.9( 362.9)  0 |Ls: 0.0093 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   11 |OrigR:  14.0 ShpR: 147.4 |X:  190.0( 802.0) AvgX100: 252.6 |AvgR: 343.3( 362.9)  1 |Ls: 0.0102 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   12 |OrigR: -53.0 ShpR:  27.7 |X:   39.0( 802.0) AvgX100: 234.8 |AvgR: 317.0( 362.9)  2 |Ls: 0.0110 |Eps: 0.9704 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
Ep   13 |OrigR:  69.0 ShpR: 392.9 |X:  218.0( 802.0) AvgX100: 233.5 |AvgR: 322.8( 362.9)  3 |Ls: 0.0101 |Eps: 0.9680 |LR: 1.25e-04 |Gm: 0.930 |Fl: . (0/100) 0
