================================================================================
Training started at 20251219-213914
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0410 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0344 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0306 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0182 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    6 |OrigR: -50.0 ShpR: 135.0 |X:  153.0( 602.0) AvgX100: 172.5 |AvgR: 280.8( 309.9)  1 |Ls: 0.0166 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    7 |OrigR: 178.0 ShpR: 477.3 |X:  256.0( 602.0) AvgX100: 184.4 |AvgR: 308.8( 309.9)  2 |Ls: 0.0161 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    8 |OrigR:  -9.0 ShpR: 104.6 |X:  163.0( 602.0) AvgX100: 181.8 |AvgR: 283.3( 309.9)  3 |Ls: 0.0125 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep    9 |OrigR: 270.0 ShpR: 654.5 |X:  690.0( 690.0) AvgX100: 238.2 |AvgR: 324.5( 324.5)  0 |Ls: 0.0105 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   10 |OrigR:  76.0 ShpR: 268.6 |X:  141.0( 690.0) AvgX100: 228.5 |AvgR: 319.0( 324.5)  1 |Ls: 0.0138 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   11 |OrigR: 195.0 ShpR: 532.0 |X:  365.0( 690.0) AvgX100: 240.9 |AvgR: 338.3( 338.3)  0 |Ls: 0.0135 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   12 |OrigR:  48.0 ShpR: 139.3 |X:  338.0( 690.0) AvgX100: 249.0 |AvgR: 321.7( 338.3)  1 |Ls: 0.0187 |Eps: 0.9704 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   13 |OrigR:  58.0 ShpR: 227.3 |X:  123.0( 690.0) AvgX100: 239.3 |AvgR: 314.5( 338.3)  2 |Ls: 0.0205 |Eps: 0.9680 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   14 |OrigR:  48.0 ShpR: 206.3 |X:  114.0( 690.0) AvgX100: 230.4 |AvgR: 306.7( 338.3)  3 |Ls: 0.0259 |Eps: 0.9656 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   15 |OrigR: -69.0 ShpR:  25.1 |X:   40.0( 690.0) AvgX100: 217.7 |AvgR: 288.0( 338.3)  4 |Ls: 0.0433 |Eps: 0.9631 |LR: 1.25e-04 |Gm: 0.990 |Fl: . (0/100) 0
