================================================================================
Training started at 20251219-102853
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   24 |OrigR:  36.0 ShpR: 179.1 |X:  102.0( 707.0) AvgX100: 211.4 |AvgR: 327.6( 403.0) 14 |Ls: 0.0987 |Eps: 0.9417 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   25 |OrigR:  -1.0 ShpR: 140.4 |X:   88.0( 707.0) AvgX100: 206.5 |AvgR: 320.1( 403.0) 15 |Ls: 0.1818 |Eps: 0.9393 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   26 |OrigR:  38.0 ShpR: 222.8 |X:  156.0( 707.0) AvgX100: 204.5 |AvgR: 316.4( 403.0) 16 |Ls: 0.2311 |Eps: 0.9370 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   27 |OrigR:  67.0 ShpR: 250.2 |X:  133.0( 707.0) AvgX100: 201.9 |AvgR: 313.9( 403.0) 17 |Ls: 0.1811 |Eps: 0.9346 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   28 |OrigR: 150.0 ShpR: 413.5 |X:  236.0( 707.0) AvgX100: 203.1 |AvgR: 317.5( 403.0) 18 |Ls: 0.2361 |Eps: 0.9323 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   29 |OrigR:   2.0 ShpR: 107.2 |X:   71.0( 707.0) AvgX100: 198.6 |AvgR: 310.3( 403.0) 19 |Ls: 0.1815 |Eps: 0.9300 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   30 |OrigR: -26.0 ShpR: 153.9 |X:  158.0( 707.0) AvgX100: 197.2 |AvgR: 305.0( 403.0) 20 |Ls: 0.3588 |Eps: 0.9277 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   31 |OrigR:  53.0 ShpR: 220.3 |X:  120.0( 707.0) AvgX100: 194.7 |AvgR: 302.3( 403.0) 21 |Ls: 0.2562 |Eps: 0.9253 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   32 |OrigR:  -2.0 ShpR:  99.8 |X:   68.0( 707.0) AvgX100: 190.8 |AvgR: 296.0( 403.0) 22 |Ls: 0.2736 |Eps: 0.9230 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   33 |OrigR:  12.0 ShpR: 130.7 |X:   81.0( 707.0) AvgX100: 187.4 |AvgR: 291.0( 403.0) 23 |Ls: 0.2946 |Eps: 0.9207 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   34 |OrigR: -25.0 ShpR:  49.5 |X:   46.0( 707.0) AvgX100: 183.3 |AvgR: 283.9( 403.0) 24 |Ls: 0.4952 |Eps: 0.9184 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   35 |OrigR:  54.0 ShpR: 433.4 |X:  243.0( 707.0) AvgX100: 185.0 |AvgR: 288.1( 403.0) 25 |Ls: 0.4461 |Eps: 0.9161 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
