================================================================================
Training started at 20251219-050123
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0387 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0260 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0199 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0159 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    6 |OrigR: -49.0 ShpR: 133.6 |X:  152.0( 602.0) AvgX100: 172.3 |AvgR: 280.5( 309.9)  1 |Ls: 0.0170 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    7 |OrigR:  -8.0 ShpR: 198.7 |X:  118.0( 602.0) AvgX100: 164.6 |AvgR: 268.8( 309.9)  2 |Ls: 0.0179 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    8 |OrigR:  73.0 ShpR: 257.8 |X:  136.0( 602.0) AvgX100: 161.0 |AvgR: 267.5( 309.9)  3 |Ls: 0.0185 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep    9 |OrigR: 112.0 ShpR: 312.2 |X:  236.0( 602.0) AvgX100: 169.3 |AvgR: 272.4( 309.9)  4 |Ls: 0.0138 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   10 |OrigR:  12.0 ShpR: 141.7 |X:  132.0( 602.0) AvgX100: 165.6 |AvgR: 259.4( 309.9)  5 |Ls: 0.0106 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   11 |OrigR: -39.0 ShpR: 135.1 |X:  180.0( 602.0) AvgX100: 166.9 |AvgR: 248.1( 309.9)  6 |Ls: 0.0101 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   12 |OrigR: -74.0 ShpR:  56.1 |X:   56.0( 602.0) AvgX100: 157.7 |AvgR: 232.1( 309.9)  7 |Ls: 0.0116 |Eps: 0.9704 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   13 |OrigR: 125.0 ShpR: 347.0 |X:  234.0( 602.0) AvgX100: 163.5 |AvgR: 240.9( 309.9)  8 |Ls: 0.0120 |Eps: 0.9680 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   14 |OrigR: 175.0 ShpR: 461.0 |X:  273.0( 602.0) AvgX100: 171.4 |AvgR: 256.6( 309.9)  9 |Ls: 0.0097 |Eps: 0.9656 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
