================================================================================
Training started at 20251219-095424
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.95->0.95, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0402 |Eps: 0.9950 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0335 |Eps: 0.9925 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0301 |Eps: 0.9900 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0176 |Eps: 0.9876 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    6 |OrigR: -50.0 ShpR: 135.0 |X:  153.0( 602.0) AvgX100: 172.5 |AvgR: 280.8( 309.9)  1 |Ls: 0.0162 |Eps: 0.9851 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    7 |OrigR: 178.0 ShpR: 477.3 |X:  256.0( 602.0) AvgX100: 184.4 |AvgR: 308.8( 309.9)  2 |Ls: 0.0153 |Eps: 0.9826 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    8 |OrigR:  23.0 ShpR: 194.8 |X:  337.0( 602.0) AvgX100: 203.5 |AvgR: 294.6( 309.9)  3 |Ls: 0.0109 |Eps: 0.9802 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep    9 |OrigR: 101.0 ShpR: 322.1 |X:  164.0( 602.0) AvgX100: 199.1 |AvgR: 297.6( 309.9)  4 |Ls: 0.0076 |Eps: 0.9777 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   10 |OrigR: 178.0 ShpR: 476.8 |X:  249.0( 602.0) AvgX100: 204.1 |AvgR: 315.6( 315.6)  0 |Ls: 0.0090 |Eps: 0.9753 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   11 |OrigR: 266.0 ShpR: 666.1 |X:  696.0( 696.0) AvgX100: 248.8 |AvgR: 347.4( 347.4)  0 |Ls: 0.0122 |Eps: 0.9728 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   12 |OrigR: -62.0 ShpR:  63.3 |X:   58.0( 696.0) AvgX100: 232.9 |AvgR: 323.7( 347.4)  1 |Ls: 0.0154 |Eps: 0.9704 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   13 |OrigR: -55.0 ShpR:  81.5 |X:   66.0( 696.0) AvgX100: 220.1 |AvgR: 305.1( 347.4)  2 |Ls: 0.0155 |Eps: 0.9680 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   14 |OrigR:  23.0 ShpR: 215.3 |X:  139.0( 696.0) AvgX100: 214.3 |AvgR: 298.7( 347.4)  3 |Ls: 0.0143 |Eps: 0.9656 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   15 |OrigR:  93.0 ShpR: 330.8 |X:  191.0( 696.0) AvgX100: 212.7 |AvgR: 300.8( 347.4)  4 |Ls: 0.0129 |Eps: 0.9631 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   16 |OrigR: 551.0 ShpR:1219.6 |X:  703.0( 703.0) AvgX100: 243.4 |AvgR: 358.3( 358.3)  0 |Ls: 0.0164 |Eps: 0.9607 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   17 |OrigR: 156.0 ShpR: 415.6 |X:  256.0( 703.0) AvgX100: 244.1 |AvgR: 361.6( 361.6)  0 |Ls: 0.0201 |Eps: 0.9583 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
Ep   18 |OrigR: 151.0 ShpR: 436.1 |X:  229.0( 703.0) AvgX100: 243.3 |AvgR: 365.8( 365.8)  0 |Ls: 0.0241 |Eps: 0.9559 |LR: 1.25e-04 |Gm: 0.950 |Fl: . (0/100) 0
