================================================================================
Training started at 20251218-151236
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR:  31.0 ShpR: 169.6 |X:   98.0(  98.0) AvgX100:  98.0 |AvgR: 169.6( 169.6)  0 |Ls: 0.0000 |Eps: 0.9975 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    2 |OrigR: -29.0 ShpR:  42.1 |X:   43.0(  98.0) AvgX100:  70.5 |AvgR: 105.9( 169.6)  1 |Ls: 0.0374 |Eps: 0.9950 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    3 |OrigR:  32.0 ShpR: 171.7 |X:   99.0(  99.0) AvgX100:  80.0 |AvgR: 127.8( 169.6)  2 |Ls: 0.0247 |Eps: 0.9925 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    4 |OrigR: -54.0 ShpR:  29.1 |X:   40.0(  99.0) AvgX100:  70.0 |AvgR: 103.1( 169.6)  3 |Ls: 0.0185 |Eps: 0.9900 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    5 |OrigR: 500.0 ShpR:1137.0 |X:  602.0( 602.0) AvgX100: 176.4 |AvgR: 309.9( 309.9)  0 |Ls: 0.0146 |Eps: 0.9876 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    6 |OrigR: -49.0 ShpR: 133.6 |X:  152.0( 602.0) AvgX100: 172.3 |AvgR: 280.5( 309.9)  1 |Ls: 0.0128 |Eps: 0.9851 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    7 |OrigR:  -8.0 ShpR: 198.7 |X:  118.0( 602.0) AvgX100: 164.6 |AvgR: 268.8( 309.9)  2 |Ls: 0.0142 |Eps: 0.9826 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    8 |OrigR:  73.0 ShpR: 257.8 |X:  136.0( 602.0) AvgX100: 161.0 |AvgR: 267.5( 309.9)  3 |Ls: 0.0143 |Eps: 0.9802 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep    9 |OrigR:  86.0 ShpR: 256.6 |X:  216.0( 602.0) AvgX100: 167.1 |AvgR: 266.2( 309.9)  4 |Ls: 0.0111 |Eps: 0.9777 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   10 |OrigR:  64.0 ShpR: 254.4 |X:  157.0( 602.0) AvgX100: 166.1 |AvgR: 265.1( 309.9)  5 |Ls: 0.0127 |Eps: 0.9753 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   11 |OrigR: -11.0 ShpR:  93.4 |X:   66.0( 602.0) AvgX100: 157.0 |AvgR: 249.5( 309.9)  6 |Ls: 0.0110 |Eps: 0.9728 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
